ScientificName,SpecCode,CommonName,Environments,Subspecies
Coelorinchus acanthiger,8436,Queue de rat,['salt'],[]
Coelorinchus acantholepis,58836,棘鱗腔吻鱈,['salt'],[]
Coelorinchus aconcagua,8437,Aconcagua grenadier,['salt'],[]
Coelorinchus acutirostris,7598,Spearnose whiptail,['salt'],[]
Coelorinchus amirantensis,64685,,['salt'],[]
Coelorinchus amydrozosterus,58922,Faintbanded whiptail,['salt'],[]
Coelorinchus anatirostris,8438,Duckbill grenadier,['salt'],[]
Coelorinchus anisacanthus,51660,,['salt'],[]
Coelorinchus aratrum,51661,,['salt'],[]
Coelorinchus argentatus,8439,Silver whiptail,['salt'],[]
Coelorinchus argus,8440,Eyespot grenadier,['salt'],[]
Coelorinchus aspercephalus,8441,Oblique banded rattail,['salt'],[]
Coelorinchus asteroides,23220,Hoshi-hige,['salt'],[]
Coelorinchus australis,8442,Javelin,['salt'],[]
Coelorinchus biclinozonalis,8443,Two saddle rattail,['salt'],[]
Coelorinchus bollonsi,47487,Bollons' rattail,['salt'],[]
Coelorinchus braueri,7838,Lagartixa vulgar,['salt'],[]
Coelorinchus brevirostris,58840,短吻腔吻鱈,['salt'],[]
Coelorinchus caelorhincus,1726,Blackspot grenadier,['salt'],[]
Coelorinchus campbellicus,60850,,['salt'],[]
Coelorinchus canus,8181,Clearsnout grenadier,['salt'],[]
Coelorinchus caribbaeus,3102,Blackfin Grenadier,['salt'],[]
Coelorinchus carinifer,52155,龍首腔吻鱈,['salt'],[]
Coelorinchus caudani,51088,隐光腔吻鳕,['salt'],[]
Coelorinchus celaenostomus,48964,Black lip rattail,['salt'],[]
Coelorinchus charius,57809,Graceful whiptail,['salt'],[]
Coelorinchus chilensis,8445,Chilean grenadier,['salt'],[]
Coelorinchus cingulatus,52158,带斑腔吻鳕,['salt'],[]
Coelorinchus commutabilis,52159,变异腔吻鳕,['salt'],[]
Coelorinchus cookianus,47491,Cook's rattail,['salt'],[]
Coelorinchus cylindricus,57945,,['salt'],[]
Coelorinchus denticulatus,8446,Filesnout grenadier,['salt'],[]
Coelorinchus divergens,58842,广布腔吻鳕,['salt'],[]
Coelorinchus dorsalis,52161,丝鳍腔吻鳕,['salt'],[]
Coelorinchus doryssus,51662,瓦胡岛腔吻鳕,['salt'],[]
Coelorinchus fasciatus,7131,Banded rattail,['salt'],[]
Coelorinchus flabellispinis,10240,扇棘腔吻鱈,['salt'],[]
Coelorinchus formosanus,8447,a-i-wan-kko-ri-min-tae,['salt'],[]
Coelorinchus fuscigulus,65257,,['salt'],[]
Coelorinchus gaesorhynchus,57794,Javelin whiptail,['salt'],[]
Coelorinchus ganymedes,69531,,['salt'],[]
Coelorinchus geronimo,17108,,['salt'],[]
Coelorinchus gilberti,23223,Oni-hige,['salt'],[]
Coelorinchus gladius,52358,剑状腔吻鳕,['salt'],[]
Coelorinchus goobala,57889,Goobala whiptail,['salt'],[]
Coelorinchus gormani,64030,,['salt'],[]
Coelorinchus hexafasciatus,8448,Musuji-sokodara,['salt'],[]
Coelorinchus hige,58847,灯腔吻鳕,['salt'],[]
Coelorinchus hoangi,64029,,['salt'],[]
Coelorinchus horribilis,48968,Horrible rattail,['salt'],[]
Coelorinchus hubbsi,23208,Moyô-hige,['salt'],[]
Coelorinchus immaculatus,52262,无斑腔吻鳕,['salt'],[]
Coelorinchus infuscus,48970,Dusky rattail,['salt'],[]
Coelorinchus innotabilis,8449,Innotable whiptail,['salt'],[]
Coelorinchus japonicus,8450,Japanese grenadier,['salt'],[]
Coelorinchus jordani,23216,Kyushu-hige,['salt'],[]
Coelorinchus kaiyomaru,8451,Campbell whiptail,['salt'],[]
Coelorinchus kamoharai,8452,Ichimonji-hige,['salt'],[]
Coelorinchus karrerae,8453,Karrer's whiptail,['salt'],[]
Coelorinchus kermadecus,47493,Kermadec rattail,['salt'],[]
Coelorinchus kishinouyei,8455,Mugura grenadier,['salt'],[]
Coelorinchus labiatus,8456,Sokkeloseisojakala,['salt'],[]
Coelorinchus lanceolatus,69347,Yajirihige,['salt'],[]
Coelorinchus lasti,58883,Roughsnout whiptail,['salt'],[]
Coelorinchus leptorhinus,62215,,['salt'],[]
Coelorinchus longicephalus,8457,Longhead grenadier,['salt'],[]
Coelorinchus longissimus,23207,Tongari-hige,['salt'],[]
Coelorinchus macrochir,8458,Gin-pal-kko-ri-min-tae,['salt'],[]
Coelorinchus macrolepis,52162,大鱗腔吻鱈,['salt'],[]
Coelorinchus macrorhynchus,52163,Bigsnout whiptail,['salt'],[]
Coelorinchus maculatus,11688,Blotch whiptail,['salt'],[]
Coelorinchus marinii,7132,Dolgokhvost marini,['salt'],[]
Coelorinchus matamua,8459,Blueband whiptail,['salt'],[]
Coelorinchus matsubarai,23215,Matô-hige,['salt'],[]
Coelorinchus maurofasciatus,48972,Dark banded rattail,['salt'],[]
Coelorinchus mayiae,57888,False silver whiptail,['salt'],[]
Coelorinchus mediterraneus,59766,Mediteranski dugorepac rilaš,['salt'],[]
Coelorinchus melanobranchus,58898,,['salt'],[]
Coelorinchus melanosagmatus,54943,,['salt'],[]
Coelorinchus mirus,14056,Gargoyle,['salt'],[]
Coelorinchus multifasciatus,52264,多带腔吻鳕,['salt'],[]
Coelorinchus multispinulosus,8461,Chul-bi-nǔl-ch'i,['salt'],[]
Coelorinchus mycterismus,48983,Pinocchio whiptail,['salt'],[]
Coelorinchus mystax,48984,Patterned rattail,['salt'],[]
Coelorinchus nazcaensis,52265,海岭腔吻鳕,['salt'],[]
Coelorinchus notatus,52164,知名腔吻鱈,['salt'],[]
Coelorinchus nox,69348,Yami-hige,['salt'],[]
Coelorinchus obscuratus,64976,,['salt'],[]
Coelorinchus occa,3103,Furão,['salt'],[]
Coelorinchus oliverianus,8462,Hawknose grenadier,['salt'],[]
Coelorinchus osipullus,64975,,['salt'],[]
Coelorinchus parallelus,8463,Indo-pacifisk langhale,['salt'],[]
Coelorinchus pardus,58885,Leopard whiptail,['salt'],[]
Coelorinchus parvifasciatus,48985,Little whiptail,['salt'],[]
Coelorinchus platorhynchus,52165,扁吻腔吻鱈,['salt'],[]
Coelorinchus polli,16822,,['salt'],[]
Coelorinchus posteromaculatus,69863,Tailspotted grenadier,['salt'],[]
Coelorinchus productus,8464,Tengu-hige,['salt'],[]
Coelorinchus pseudoparallelus,64918,,['salt'],[]
Coelorinchus quadricristatus,47201,四冠腔吻鱈,['salt'],[]
Coelorinchus quincunciatus,52166,菲律宾腔吻鳕,['salt'],[]
Coelorinchus radcliffei,52168,拉氏腔吻鱈,['salt'],[]
Coelorinchus scaphopsis,8465,Granadero carepala,['salt'],[]
Coelorinchus semaphoreus,58929,Semaphore whiptail,['salt'],[]
Coelorinchus sereti,58930,Short-tooth whiptail,['salt'],[]
Coelorinchus sexradiatus,52169,六線腔吻鱈,['salt'],[]
Coelorinchus shcherbachevi,58931,False duckbill whiptail,['salt'],[]
Coelorinchus sheni,62123,,['salt'],[]
Coelorinchus simorhynchus,27105,仰吻腔吻鱈,['salt'],[]
Coelorinchus smithi,23219,False graceful whiptail,['salt'],[]
Coelorinchus sparsilepis,58858,散鱗腔吻鱈,['salt'],[]
Coelorinchus spathulatus,48986,Spatulate rattail,['salt'],[]
Coelorinchus spilonotus,52267,污斑腔吻鱈,['salt'],[]
Coelorinchus spinifer,58859,大棘腔吻鱈,['salt'],[]
Coelorinchus supernasutus,48987,Supanose rattail,['salt'],[]
Coelorinchus thompsoni,52170,汤氏腔吻鳕,['salt'],[]
Coelorinchus thurla,57891,Thurla whiptail,['salt'],[]
Coelorinchus tokiensis,23221,Miyako-hige,['salt'],[]
Coelorinchus trachycarus,56594,Rough-head whiptail,['salt'],[]
Coelorinchus triocellatus,52171,三睛斑腔吻鱈,['salt'],[]
Coelorinchus trunovi,27114,特氏腔吻鱈,['salt'],[]
Coelorinchus velifer,52172,緣膜腔吻鱈,['salt'],[]
Coelorinchus ventrilux,8466,Firebelly grenadier,['salt'],[]
Coelorinchus vityazae,63421,,['salt'],[]
Coelorinchus weberi,52173,韋氏腔吻鱈,['salt'],[]
Coelorinchus yurii,64974,,['salt'],[]
