ScientificName,SpecCode,CommonName,Environments,Subspecies
Hymenocephalus aeger,64831,Plaintail whiptail,['salt'],[]
Hymenocephalus antraeus,52360,,['salt'],[]
Hymenocephalus aterrimus,57892,Blackest whiptail,['salt'],[]
Hymenocephalus barbatulus,52365,,['salt'],[]
Hymenocephalus billsam,25297,,['salt'],[]
Hymenocephalus fuscus,67479,Black membranehead,['salt'],[]
Hymenocephalus grimaldii,58846,,['salt'],[]
Hymenocephalus hachijoensis,23178,Hachijô-sokodara,['salt'],[]
Hymenocephalus heterolepis,67717,,['salt'],[]
Hymenocephalus italicus,1720,Buławik włoski,['salt'],[]
Hymenocephalus iwamotoi,67709,,['salt'],[]
Hymenocephalus lethonemus,23179,Itodara,['salt'],[]
Hymenocephalus longibarbis,11690,Longbarb whiptail,['salt'],[]
Hymenocephalus longiceps,23176,Wanidara,['salt'],[]
Hymenocephalus longipes,52366,長頭膜首鱈,['salt'],[]
Hymenocephalus maculicaudus,67480,Spottytail membranehead,['salt'],[]
Hymenocephalus megalops,58900,Bigeye whiptail,['salt'],[]
Hymenocephalus nascens,58924,Nascent membranehead,['salt'],[]
Hymenocephalus neglectissimus,52269,,['salt'],[]
Hymenocephalus nesaeae,58852,,['salt'],[]
Hymenocephalus papyraceus,23627,Kamidara,['salt'],[]
Hymenocephalus punt,67900,,['salt'],[]
Hymenocephalus sazonovi,67712,,['salt'],[]
Hymenocephalus semipellucidus,52270,,['salt'],[]
Hymenocephalus striatissimus,23177,Sujidara,['salt'],[]
Hymenocephalus striatulus,52271,,['salt'],[]
Hymenocephalus torvus,7596,,['salt'],[]
Hymenocephalus yamasakiorum,67901,Black-tailed membranehead,['salt'],[]
