ScientificName,SpecCode,CommonName,Environments,Subspecies
Macrognathus aculeatus,5152,Arelot,"['fresh', 'brackish']",[]
Macrognathus albus,67770,Spotless spiny eel,['fresh'],[]
Macrognathus aral,10545,Aral,"['fresh', 'brackish']",[]
Macrognathus aureus,65580,,['fresh'],[]
Macrognathus caudiocellatus,25281,睛尾吻棘鰍,['fresh'],[]
Macrognathus circumcinctus,55327,Gürtelstachelaal,['fresh'],[]
Macrognathus dorsiocellatus,65288,,['fresh'],[]
Macrognathus fasciatus,67771,Yellow banded spiny eel,['fresh'],[]
Macrognathus guentheri,13593,Aaral,['fresh'],[]
Macrognathus keithi,25156,基氏吻棘鰍,['fresh'],[]
Macrognathus lineatomaculatus,65290,,['fresh'],[]
Macrognathus maculatus,25157,Buff-backed spiny eel,['fresh'],[]
Macrognathus malabaricus,60198,,['fresh'],[]
Macrognathus meklongensis,61570,,['fresh'],[]
Macrognathus morehensis,60653,,['fresh'],[]
Macrognathus obscurus,65289,,['fresh'],[]
Macrognathus pancalus,10147,Aral,"['fresh', 'brackish']",[]
Macrognathus pavo,65287,,['fresh'],[]
Macrognathus pentophthalmos,66123,,['fresh'],[]
Macrognathus semiocellatus,50841,Pba loht,['fresh'],[]
Macrognathus siamensis,50400,Chhlong,['fresh'],[]
Macrognathus taeniagaster,26798,Cá chach song,['fresh'],[]
Macrognathus tapirus,62647,Luda',['fresh'],[]
Macrognathus zebrinus,12297,Bam,['fresh'],[]
