ScientificName,SpecCode,CommonName,Environments,Subspecies
Mastacembelus alboguttatus,25282,白点刺鳅,['fresh'],[]
Mastacembelus albomaculatus,10055,白斑非洲盲刺鰍,['fresh'],[]
Mastacembelus ansorgii,10073,安氏盲刺鰍,['fresh'],[]
Mastacembelus apectoralis,66038,,['fresh'],[]
Mastacembelus armatus,10140,Aasia kärsskala,"['fresh', 'brackish']",[]
Mastacembelus aviceps,10074,鳥首盲刺鰍,['fresh'],[]
Mastacembelus brachyrhinus,10076,短吻盲刺鰍,['fresh'],[]
Mastacembelus brichardi,10078,Blind snabelål,['fresh'],[]
Mastacembelus catchpolei,10079,卡氏盲刺鰍,['fresh'],[]
Mastacembelus congicus,10056,Kongonpuikkokala,['fresh'],[]
Mastacembelus crassus,10080,厚身盲刺鰍,['fresh'],[]
Mastacembelus cryptacanthus,10081,Nwong,['fresh'],[]
Mastacembelus cunningtoni,10057,Gamba nioka,['fresh'],[]
Mastacembelus dayi,25283,戴氏刺鰍,['fresh'],[]
Mastacembelus decorsei,10082,Snake fish,['fresh'],[]
Mastacembelus dienbienensis,65679,,['fresh'],[]
Mastacembelus ellipsifer,10058,不育非洲盲刺鰍,['fresh'],[]
Mastacembelus erythrotaenia,12026,Cá chachlua,['fresh'],[]
Mastacembelus favus,26813,Dækmønstret snabelål,['fresh'],[]
Mastacembelus flavidus,10059,Täpläpuikkokala,['fresh'],[]
Mastacembelus frenatus,10060,East african spiny eel,['fresh'],[]
Mastacembelus greshoffi,10085,,['fresh'],[]
Mastacembelus kadeiensis,69755,,['fresh'],[]
Mastacembelus kakrimensis,62305,,['fresh'],[]
Mastacembelus latens,10086,潛盲刺鰍,['fresh'],[]
Mastacembelus liberiensis,10087,利比里埃塞刺鰍,['fresh'],[]
Mastacembelus loennbergii,10088,Käärmepuikkokala,['fresh'],[]
Mastacembelus marchei,10090,Ngwong,['fresh'],[]
Mastacembelus mastacembelus,54832,Dikenli yılanbalığı,['fresh'],[]
Mastacembelus micropectus,10061,細胸非洲盲刺鰍,['fresh'],[]
Mastacembelus moorii,10063,Kennopuikkokala,['fresh'],[]
Mastacembelus niger,10092,Mukongo,['fresh'],[]
Mastacembelus nigromarginatus,10093,Djuéwô,['fresh'],[]
Mastacembelus notophthalmus,25158,Harmaapuikkokala,['fresh'],[]
Mastacembelus oatesii,25285,因莱湖刺鳅,['fresh'],[]
Mastacembelus ophidium,10064,Käärmepuikkokala,['fresh'],[]
Mastacembelus pantherinus,64218,,['fresh'],[]
Mastacembelus paucispinis,10094,少棘刺鰍,['fresh'],[]
Mastacembelus plagiostomus,10065,Satulapuikkokala,['fresh'],[]
Mastacembelus platysoma,10066,扁体非洲盲刺鳅,['fresh'],[]
Mastacembelus polli,62557,,['fresh'],[]
Mastacembelus praensis,12800,Ketjupuikkokala,['fresh'],[]
Mastacembelus reygeli,65626,,['fresh'],[]
Mastacembelus robertsi,51576,劳氏埃塞刺鳅,['fresh'],[]
Mastacembelus sanagali,10096,萨氏盲刺鳅,['fresh'],[]
Mastacembelus seiteri,10098,塞氏盲刺鰍,['fresh'],[]
Mastacembelus sexdecimspinus,26648,六十棘埃塞刺鰍,['fresh'],[]
Mastacembelus shiloangoensis,61986,,['fresh'],[]
Mastacembelus shiranus,8378,Kopokopo,['fresh'],[]
Mastacembelus simbi,65624,,['fresh'],[]
Mastacembelus strigiventus,66086,,['fresh'],[]
Mastacembelus taiaensis,12769,太安盲刺鰍,['fresh'],[]
Mastacembelus tanganicae,10069,Tanganika-Stachelaal,['fresh'],[]
Mastacembelus thacbaensis,65731,,['fresh'],[]
Mastacembelus tinwini,64217,,['fresh'],[]
Mastacembelus traversi,46273,特氏埃塞刺鰍,['fresh'],[]
Mastacembelus triolobus,66087,,['fresh'],[]
Mastacembelus trispinosus,10070,三棘非洲盲刺鰍,['fresh'],[]
Mastacembelus ubangipaucispinis,69754,,['fresh'],[]
Mastacembelus undulatus,65831,,['fresh'],[]
Mastacembelus unicolor,25160,Tilan kelokoi,['fresh'],[]
Mastacembelus vanderwaali,10071,Bont stekelpaling,['fresh'],[]
Mastacembelus zebratus,10072,条纹非洲盲刺鳅,['fresh'],[]
