ScientificName,SpecCode,CommonName,Environments,Subspecies
Parioglossus aporos,27326,Poreless dartfish,['brackish'],[]
Parioglossus caeruleolineatus,65433,Kujaku-haze,['salt'],[]
Parioglossus dotui,23580,Cá Bống đót,"['brackish', 'salt']",[]
Parioglossus formosus,17480,Beautiful hover goby,"['brackish', 'salt']",[]
Parioglossus galzini,62032,,['salt'],[]
Parioglossus interruptus,27329,Hime-satsukihaze,['brackish'],[]
Parioglossus lineatus,17481,Lined dartfish,"['brackish', 'salt']",[]
Parioglossus marginalis,27327,Blackmargin dartfish,['brackish'],[]
Parioglossus multiradiatus,62192,Larkansyel,"['fresh', 'brackish']",[]
Parioglossus neocaledonicus,27292,新喀里多尼亚舌塘鳢,"['fresh', 'brackish', 'salt']",[]
Parioglossus nudus,17482,Naked dartfish,['salt'],[]
Parioglossus palustris,17483,Borneo hoverer,"['brackish', 'salt']",[]
Parioglossus philippinus,27610,Philippine dartfish,"['brackish', 'salt']",[]
Parioglossus rainfordi,17484,Cobra-fish,"['brackish', 'salt']",[]
Parioglossus raoi,15881,Andaman dart-goby,"['brackish', 'salt']",[]
Parioglossus senoui,65434,Musume-haze,['salt'],[]
Parioglossus sinensis,59960,中华舌塘鳢,['salt'],[]
Parioglossus taeniatus,22452,Komachi-haze,"['brackish', 'salt']",[]
Parioglossus triquetrus,27328,,['brackish'],[]
Parioglossus verticalis,22458,Vertical dartfish,['salt'],[]
Parioglossus winterbottomi,65435,,['salt'],[]
