ScientificName,SpecCode,CommonName,Environments,Subspecies
Nansenia ahlstromi,58742,,['salt'],[]
Nansenia antarctica,6959,Argentinat antarctique,['salt'],[]
Nansenia ardesiaca,14729,Ginzake-iwashi,['salt'],[]
Nansenia atlantica,9115,大西洋南氏魚,['salt'],[]
Nansenia boreacrassicauda,68461,,['salt'],[]
Nansenia candida,12233,Bluethroat argentine,['salt'],[]
Nansenia crassa,57207,Stout argentine,['salt'],[]
Nansenia groenlandica,1330,Grænlandsnaggur,['salt'],[]
Nansenia iberica,57320,Peix plàtan d'ull gros,['salt'],[]
Nansenia indica,58798,印度南氏魚,['salt'],[]
Nansenia longicauda,57321,长尾南氏鱼,['salt'],[]
Nansenia macrolepis,10236,大鱗南氏魚,['salt'],[]
Nansenia megalopa,58748,大南氏魚,['salt'],[]
Nansenia oblita,1738,Ancioja 'i Spagna,['salt'],[]
Nansenia obscura,58797,暗色南氏魚,['salt'],[]
Nansenia pelagica,58795,海南氏魚,['salt'],[]
Nansenia tenera,49443,柔南氏魚,['salt'],[]
Nansenia tenuicauda,58794,薄尾南氏魚,['salt'],[]
