ScientificName,SpecCode,CommonName,Environments,Subspecies
Mobula alfredi,65179,Alfred manta,['salt'],[]
Mobula birostris,2061,Almindelig djævlerokke,['salt'],[]
Mobula eregoodootenkee,25622,Buntok-talibatab,['salt'],[]
Mobula hypostoma,2586,Atlandi merisarvik,['salt'],[]
Mobula japanica,2587,Astelsaba-merisarvik,['salt'],[]
Mobula kuhlii,27177,Gaangish,['salt'],[]
Mobula mobular,7618,Atlantischer Teufelsrochen,['salt'],[]
Mobula munkiana,13191,Diabolo manta,['salt'],[]
Mobula rochebrunei,8989,Afrikaanse duivelsrog,['salt'],[]
Mobula tarapacana,13194,Chilean devil ray,['salt'],[]
Mobula thurstoni,2588,Bentfin devil ray,['salt'],[]
