ScientificName,SpecCode,CommonName,Environments,Subspecies
Synodontis abditus,69652,,['fresh'],[]
Synodontis acanthomias,9531,Gefleckter Riesenfiederbartwels,['fresh'],[]
Synodontis acanthoperca,62582,,['fresh'],[]
Synodontis afrofischeri,9533,Fischer's victoria squeaker,['fresh'],[]
Synodontis alberti,9534,Bigeye squeaker,['fresh'],[]
Synodontis albolineatus,9535,Juovaripsimonni,['fresh'],[]
Synodontis angelicus,9536,Angel catfish,['fresh'],[]
Synodontis annectens,5468,Gangue-Kala,['fresh'],[]
Synodontis ansorgii,9537,安氏歧须鮠,['fresh'],[]
Synodontis arnoulti,9542,Kuilkeka,['fresh'],[]
Synodontis aterrimus,9541,黑歧须鮠,['fresh'],[]
Synodontis bastiani,2453,Elfenbein-Fiederbartwels,['fresh'],[]
Synodontis batensoda,5469,Al,['fresh'],[]
Synodontis batesii,9543,貝茨歧鬚鮠,['fresh'],[]
Synodontis brichardi,9544,Brichards Fiederbartwels,['fresh'],[]
Synodontis budgetti,9545,Budgetts Fiederbartwels,['fresh'],[]
Synodontis camelopardalis,9546,Kirahviripsimonni,['fresh'],[]
Synodontis carineae,65953,,['fresh'],[]
Synodontis caudalis,9547,Ikakatu,['fresh'],[]
Synodontis caudovittatus,9548,Gargur,['fresh'],[]
Synodontis centralis,9549,Koukeroripsimonni,['fresh'],[]
Synodontis clarias,9529,Atinu kpotokui,['fresh'],[]
Synodontis comoensis,2454,科莫歧须鮠,['fresh'],[]
Synodontis congicus,9550,Domino-Fiederbartwels,['fresh'],[]
Synodontis contractus,9551,Bolščeči hrbtoplovec,['fresh'],[]
Synodontis courteti,9552,Egungigi,['fresh'],[]
Synodontis cuangoanus,9553,宽果河歧须鮠,['fresh'],[]
Synodontis decorus,9554,Barredtail squeaker,['fresh'],[]
Synodontis dekimpei,12806,德基氏歧须鮠,['fresh'],[]
Synodontis denticulatus,69290,,['fresh'],[]
Synodontis depauwi,9555,德普氏歧须鮠,['fresh'],[]
Synodontis dhonti,9556,德胡氏歧须鮠,['fresh'],[]
Synodontis dorsomaculatus,9557,背斑歧须鮠,['fresh'],[]
Synodontis eupterus,9559,Bandëling,['fresh'],[]
Synodontis filamentosus,9561,Blolo-kpotokui,['fresh'],[]
Synodontis flavitaeniatus,9562,Aaltoripsimonni,['fresh'],[]
Synodontis frontosus,9563,Gargur,['fresh'],[]
Synodontis fuelleborni,9564,Fuelleborn's squeaker,['fresh'],[]
Synodontis geledensis,9565,Geledi squeaker,['fresh'],[]
Synodontis gobroni,9566,Egungigi,['fresh'],[]
Synodontis grandiops,63545,,['fresh'],[]
Synodontis granulosus,9567,Kayegyege,['fresh'],[]
Synodontis greshoffi,9568,Greshoffs Fiederbartwels,['fresh'],[]
Synodontis guttatus,9569,Egungigi,['fresh'],[]
Synodontis haugi,9570,豪氏歧须鮠,['fresh'],[]
Synodontis ilebrevis,63547,,['fresh'],[]
Synodontis irsacae,63546,,['fresh'],[]
Synodontis iturii,9571,伊氏歧须鮠,['fresh'],[]
Synodontis katangae,9572,凯氏歧须鮠,['fresh'],[]
Synodontis khartoumensis,9573,Khartoum-Fiederbartwels,['fresh'],[]
Synodontis koensis,2455,Harlekiiniripsimonni,['fresh'],[]
Synodontis kogonensis,64330,,['fresh'],[]
Synodontis laessoei,9575,莱氏歧须鮠,['fresh'],[]
Synodontis leopardinus,9576,Leopard squeaker,['fresh'],[]
Synodontis leopardus,9577,獅豹歧鬚鮠,['fresh'],[]
Synodontis levequei,12805,莱维氏歧须鮠,['fresh'],[]
Synodontis longirostris,9578,Eierfleck-Fiederbartwels,['fresh'],[]
Synodontis longispinis,9579,長棘歧鬚鮠,['fresh'],[]
Synodontis lucipinnis,63550,,['fresh'],[]
Synodontis lufirae,9580,勒菲歧须鮠,['fresh'],[]
Synodontis macrophthalmus,9581,大眼歧须鮠,['fresh'],[]
Synodontis macrops,9582,Großaugen Fiederbartwels,['fresh'],[]
Synodontis macropunctatus,64049,,['fresh'],[]
Synodontis macrostigma,9583,Grootvlek-skreeubaber,['fresh'],[]
Synodontis macrostoma,50216,Grootbek-skreeubaber,['fresh'],[]
Synodontis manni,58322,Feather-barbelled squeaker,['fresh'],[]
Synodontis marmoratus,9586,Marmor-Fiederbartwels,['fresh'],[]
Synodontis matthesi,9587,Tansanianripsimonni,['fresh'],[]
Synodontis melanopterus,9588,Egungigi,['fresh'],[]
Synodontis melanostictus,66340,,['fresh'],[]
Synodontis membranaceus,9517,Bandaru,['fresh'],[]
Synodontis multimaculatus,9595,多斑歧须鮠,['fresh'],[]
Synodontis multipunctatus,9596,Dumi,['fresh'],[]
Synodontis nebulosus,9597,Clouded squeaker,['fresh'],[]
Synodontis ngouniensis,64702,,['fresh'],[]
Synodontis nigrita,9598,Catfish,['fresh'],[]
Synodontis nigriventris,9599,Back-swimming congo catfish,['fresh'],[]
Synodontis nigromaculatus,8708,Blackspotted squeaker,['fresh'],[]
Synodontis njassae,5384,Chikolokolo,['fresh'],[]
Synodontis notatus,9600,Einpunkt-Fiederbartwels,['fresh'],[]
Synodontis nummifer,9601,Pariripsimonni,['fresh'],[]
Synodontis obesus,2456,Digoughou,['fresh'],[]
Synodontis ocellifer,5470,Amume-duduimadue,['fresh'],[]
Synodontis omias,9602,Egungigi,['fresh'],[]
Synodontis orientalis,64327,,['fresh'],[]
Synodontis ornatipinnis,9603,Bongwe,['fresh'],[]
Synodontis ornatissimus,9604,飾妝歧鬚鮠,['fresh'],[]
Synodontis ouemeensis,64329,,['fresh'],[]
Synodontis pardalis,9605,Laikkuripsimonni,['fresh'],[]
Synodontis petricola,9606,Cuckoo Catfish,['fresh'],[]
Synodontis pleurops,9607,Bigeye squeaker,['fresh'],[]
Synodontis polli,9608,Kultaripsimonni,['fresh'],[]
Synodontis polyodon,9609,Digoughou,['fresh'],[]
Synodontis polystigma,9610,Bongwe,['fresh'],[]
Synodontis pulcher,9611,Somaripsimonni,['fresh'],[]
Synodontis punctifer,2457,Gloglotin,['fresh'],[]
Synodontis punctulatus,9612,真斑歧须鮠,['fresh'],[]
Synodontis punu,65135,,['fresh'],[]
Synodontis rebeli,9613,Kamerun-Fiederbartwels,['fresh'],[]
Synodontis resupinatus,9614,Egungigi,['fresh'],[]
Synodontis ricardoae,53137,Kolokolo,['fresh'],[]
Synodontis robbianus,9615,Egungigi,['fresh'],[]
Synodontis robertsi,9616,Roberts Fiederbartwels,['fresh'],[]
Synodontis ruandae,9617,Igitera,['fresh'],[]
Synodontis rufigiensis,9618,Nyanyandu,['fresh'],[]
Synodontis rukwaensis,53141,Kogo,['fresh'],[]
Synodontis schall,2458,Catfish,['fresh'],[]
