ScientificName,SpecCode,CommonName,Environments,Subspecies
Thamnaconus analis,49304,Darkvent leatherjacket,['salt'],[]
Thamnaconus arenaceus,10797,Sand-vylvis,['salt'],[]
Thamnaconus degeni,14556,Bluefin leatherjacket,['salt'],[]
Thamnaconus fajardoi,7852,Gekolde vylvis,['salt'],[]
Thamnaconus fijiensis,54921,斐济马面鲀,['salt'],[]
Thamnaconus garretti,69522,Garrett's filefish,['salt'],[]
Thamnaconus hypargyreus,11683,Barat-barat,['salt'],[]
Thamnaconus melanoproctes,46436,Blackvent filefish,['salt'],[]
Thamnaconus modestoides,7855,Bourse mingo,['salt'],[]
Thamnaconus modestus,6611,Barat-barat,['salt'],[]
Thamnaconus multilineatus,24251,Pariutet,['salt'],[]
Thamnaconus paschalis,55047,Easter filefish,['salt'],[]
Thamnaconus septentrionalis,24252,Greenfin horse-faced filefish,['salt'],[]
Thamnaconus striatus,10594,Barat-barat,['salt'],[]
Thamnaconus tessellatus,8302,Barat-barat,['salt'],[]
