ScientificName,SpecCode,CommonName,Environments,Subspecies
Gadella brocca,54301,新喀里多尼亚短稚鳕,['salt'],[]
Gadella dancoheni,60871,,['salt'],[]
Gadella edelmanni,47163,埃氏短稚鱈,['salt'],[]
Gadella filifer,60876,丝短稚鳕,['salt'],[]
Gadella imberbis,2010,Bacaladilla imberbe,['salt'],[]
Gadella jordani,23156,Jordan's cod,['salt'],[]
Gadella macrura,60872,Longtail cod,['salt'],[]
Gadella maraldi,2011,Abrótea,['salt'],[]
Gadella molokaiensis,60873,摩洛短稚鱈,['salt'],[]
Gadella norops,46967,新西兰短稚鳕,['salt'],[]
Gadella obscurus,59945,暗色短稚鱈,['salt'],[]
Gadella svetovidovi,60874,斯氏短稚鱈,['salt'],[]
Gadella thysthlon,50590,橘鰭短稚鱈,['salt'],[]
