ScientificName,SpecCode,CommonName,Environments,Subspecies
Physiculus andriashevi,60877,安氏小褐鱈,['salt'],[]
Physiculus argyropastus,60878,銀色小褐鱈,['salt'],[]
Physiculus beckeri,60880,貝氏小褐鱈,['salt'],[]
Physiculus bertelseni,60881,伯氏小褐鱈,['salt'],[]
Physiculus caboverdensis,70225,,['salt'],[]
Physiculus capensis,10245,Bigeye rockling,['salt'],[]
Physiculus chigodarana,60892,Bara-chigodara,['salt'],[]
Physiculus coheni,60882,科恩小褐鱈,['salt'],[]
Physiculus cyanostrophus,60883,,['salt'],[]
Physiculus cynodon,60884,犬牙小褐鱈,['salt'],[]
Physiculus dalwigki,1805,Abrotea de natura,['salt'],[]
Physiculus fedorovi,60886,費氏小褐鱈,['salt'],[]
Physiculus fulvus,28217,Carbonero metálico,['salt'],[]
Physiculus grinnelli,58366,格氏小褐鱈,['salt'],[]
Physiculus helenaensis,57464,Skulpin,['salt'],[]
Physiculus hexacytus,55138,东太平洋小褐鳕,['salt'],[]
Physiculus huloti,8931,Abrotea,['salt'],[]
Physiculus japonicus,2019,Chigodara,['salt'],[]
Physiculus karrerae,60894,卡勒小褐鱈,['salt'],[]
Physiculus kaupi,47672,Morid Cod,['salt'],[]
Physiculus longicavis,59944,长孔小褐鳕,['salt'],[]
Physiculus longifilis,54446,Filament cod,['salt'],[]
Physiculus luminosa,14054,Luminescent cod,['salt'],[]
Physiculus marisrubri,15597,馬里斯小褐鱈,['salt'],[]
Physiculus maslowskii,60893,玛氏小褐鳕,['salt'],[]
Physiculus microbarbata,60887,細髭小褐鱈,['salt'],[]
Physiculus natalensis,10246,南非小褐鱈,['salt'],[]
Physiculus nematopus,13806,Carbonera de fango,['salt'],[]
Physiculus nielseni,60888,尼氏小褐鱈,['salt'],[]
Physiculus nigrescens,10688,Darktip cod,['salt'],[]
Physiculus nigripinnis,23152,Hireguro-chigodara,['salt'],[]
Physiculus normani,60889,諾門小褐鱈,['salt'],[]
Physiculus parini,54871,帕氏小褐鱈,['salt'],[]
Physiculus peregrinus,47161,奇异小褐鳕,['salt'],[]
Physiculus rastrelliger,11626,Carbonera negra,['salt'],[]
Physiculus rhodopinnis,23151,Aka-chigodara,['salt'],[]
Physiculus roseus,11687,Rosy cod,['salt'],[]
Physiculus sazonovi,54872,萨氏小褐鳕,['salt'],[]
Physiculus sterops,60890,闪光小褐鳕,['salt'],[]
Physiculus sudanensis,60891,苏达小褐鳕,['salt'],[]
Physiculus talarae,13808,Carbonera peruana,['salt'],[]
Physiculus therosideros,46971,Scalyfin cod,['salt'],[]
Physiculus yoshidae,23150,Oshare-chigodara,['salt'],[]
