ScientificName,SpecCode,CommonName,Environments,Subspecies
Campylomormyrus alces,10838,Lundembe,['fresh'],[]
Campylomormyrus bredoi,10840,Mweru lontmokk,['fresh'],[]
Campylomormyrus cassaicus,10841,Kasai lontmokk,['fresh'],[]
Campylomormyrus christyi,10843,Christy lontmokk,['fresh'],[]
Campylomormyrus compressirostris,67417,,['fresh'],[]
Campylomormyrus curvirostris,10844,Elefantsnabelfisk,['fresh'],[]
Campylomormyrus elephas,10845,Ehombo,['fresh'],[]
Campylomormyrus luapulaensis,10846,Luapula lontmokk,['fresh'],[]
Campylomormyrus mirus,10847,Poisur-lontmokk,['fresh'],[]
Campylomormyrus numenius,10849,Congo-snabelfisk,['fresh'],[]
Campylomormyrus orycteropus,10850,Rypoun rypoší,['fresh'],[]
Campylomormyrus phantasticus,10852,Rypoun bizarní,['fresh'],[]
Campylomormyrus rhynchophorus,10854,Huulinorsukala,['fresh'],[]
Campylomormyrus tamandua,5076,Balekete,['fresh'],[]
Campylomormyrus tshokwe,10855,Kongo lontmokk,['fresh'],[]
