ScientificName,SpecCode,CommonName,Environments,Subspecies
Chelon auratus,1735,Alifranciu,"['fresh', 'brackish', 'salt']",[]
Chelon bandialensis,66211,Diasanga,"['brackish', 'salt']",[]
Chelon bispinosus,22487,Cape Verde mullet,['salt'],[]
Chelon caeruleus,69222,,['salt'],[]
Chelon dumerili,5115,Brasilian mullet,"['fresh', 'brackish', 'salt']",[]
Chelon labrosus,2499,An lannach glas,"['fresh', 'brackish', 'salt']",[]
Chelon ramada,4583,Acuccotto,"['fresh', 'brackish', 'salt']",[]
Chelon richardsonii,5146,Harder,"['fresh', 'brackish', 'salt']",[]
Chelon saliens,1736,Accucu,"['brackish', 'salt']",[]
Chelon tricuspidens,5513,Gestreepte harder,"['brackish', 'salt']",[]
