ScientificName,SpecCode,CommonName,Environments,Subspecies
Upeneus andamanensis,70603,Andaman goatfish,['salt'],[]
Upeneus asymmetricus,10815,Assymetrical goatfish,['salt'],[]
Upeneus aurorae,70600,Aurora goatfish,['salt'],[]
Upeneus australiae,59750,Australian goatfish,['salt'],[]
Upeneus brevignathus,70602,Shortjaw Goatfish,['salt'],[]
Upeneus caudofasciatus,69276,Tailbar goatfish,['salt'],[]
Upeneus davidaromi,60913,Arom's Goatfish,['salt'],[]
Upeneus dimipavlov,69406,Pavlov's goatfish,['salt'],[]
Upeneus doriae,28129,Gilded goatfish,['salt'],[]
Upeneus elongatus,69407,Elongate goatfish,['salt'],[]
Upeneus farnis,69107,Farnis' goatfish,['salt'],[]
Upeneus filifer,60915,Pennant goatfish,['salt'],[]
Upeneus floros,69275,Floros goatfish,['salt'],[]
Upeneus francisi,12820,Francis' goatfish,['salt'],[]
Upeneus gubal,69277,Gubal goatfish,['salt'],[]
Upeneus guttatus,62425,Adrakh,['fresh'],[]
Upeneus heemstra,67293,Heemstra goatfish,['salt'],[]
Upeneus heterospinus,69278,Variedspine Goatfish,['salt'],[]
Upeneus huan,70601,Huan's goatfish,['salt'],[]
Upeneus indicus,65408,Cochin Goatfish,['salt'],[]
Upeneus itoui,66338,Itou's Goatfish,['salt'],[]
Upeneus japonicus,7879,Amarilis,['salt'],[]
Upeneus lombok,67738,Lombok goatfish,['salt'],[]
Upeneus luzonius,10546,Balaki,['salt'],[]
Upeneus madras,69618,Madras goatfish,['salt'],[]
Upeneus margarethae,65409,Margaretha's goatfish,['salt'],[]
Upeneus mascareinsis,60910,Mascarene goatfish,['salt'],[]
Upeneus moluccensis,4444,Afulu,"['brackish', 'salt']",[]
Upeneus mouthami,64572,Moutham's goatfish,['salt'],[]
Upeneus niebuhri,67294,Niebuhr's goatfish,['salt'],[]
Upeneus nigromarginatus,67528,Black-margined goatfish,['salt'],[]
Upeneus oligospilus,65413,Shortfin Goatfish,['salt'],[]
Upeneus parvus,1095,Biji nangka,['salt'],[]
Upeneus pori,46375,Barbet à queue rayée,['salt'],[]
Upeneus quadrilineatus,10471,Fourstripe Goatfish,['salt'],[]
Upeneus randalli,66361,Randall's goatfish,['salt'],[]
Upeneus saiab,67739,SAIAB goatfish,['salt'],[]
Upeneus seychellensis,66274,Tailstripe goatfish,['salt'],[]
Upeneus spottocaudalis,69109,Tailspot goatfish,['salt'],[]
Upeneus stenopsis,66655,Narrowtail Goatfish,['salt'],[]
Upeneus suahelicus,65410,Swahili goatfish,['salt'],[]
Upeneus subvittatus,13019,Brownband goatfish,['salt'],[]
Upeneus sulphureus,4445,Agingoy,"['brackish', 'salt']",[]
Upeneus sundaicus,6643,Agingoy,"['brackish', 'salt']",[]
Upeneus supravittatus,65411,Longfin Goatfish,['salt'],[]
Upeneus taeniopterus,5995,Bandtail goatfish,['salt'],[]
Upeneus torres,67969,Torres goatfish,['salt'],[]
Upeneus tragula,5443,Agingoy,"['brackish', 'salt']",[]
Upeneus vanuatu,66999,Vanuatu goatfish,['salt'],[]
Upeneus vittatus,4821,Agingoy,"['brackish', 'salt']",[]
Upeneus willwhite,69408,White's goatfish,['salt'],[]
