ScientificName,SpecCode,CommonName,Environments,Subspecies
Anarchias allardicei,6483,Allardice's moray,['salt'],[]
Anarchias cantonensis,6484,Canton Island moray,['salt'],[]
Anarchias euryurus,9029,Anarchias,['salt'],[]
Anarchias exulatus,65812,Pagu-siugmureen,['salt'],[]
Anarchias galapagensis,13779,Hardtail moray,['salt'],[]
Anarchias leucurus,58622,Drep,['salt'],[]
Anarchias longicauda,58601,Muréna dlouhoocasá,['salt'],[]
Anarchias schultzi,65813,Schultzi siugmureen,['salt'],[]
Anarchias seychellensis,6485,Marbled reef-eel,['salt'],[]
Anarchias similis,2608,Kääbus-siugmureen,['salt'],[]
Anarchias supremus,64573,Ruske siugmureen,['salt'],[]
