ScientificName,SpecCode,CommonName,Environments,Subspecies
Lampanyctus acanthurus,23002,Ôme-niji-hadaka,['salt'],[]
Lampanyctus achirus,6998,Cripplefin lanternfish,['salt'],[]
Lampanyctus alatus,616,Nightlight fish,['salt'],[]
Lampanyctus ater,6999,Divertido,['salt'],[]
Lampanyctus australis,7000,Austral lanternfish,['salt'],[]
Lampanyctus bristori,60924,,['salt'],[]
Lampanyctus crocodilus,617,Divertido,['salt'],[]
Lampanyctus crypticus,60925,,['salt'],[]
Lampanyctus cuprarius,16682,銅色珍燈魚,['salt'],[]
Lampanyctus fernae,52257,Buk-tang-pyeong-yang-saet-bi-neul-chi,['salt'],[]
Lampanyctus festivus,16684,Divertido,['salt'],[]
Lampanyctus gibbsi,60926,,['salt'],[]
Lampanyctus hawaiiensis,60927,Tenashi-hadaka,['salt'],[]
Lampanyctus hubbsi,59145,后点珍灯鱼,['salt'],[]
Lampanyctus idostigma,54415,墨西哥珍灯鱼,['salt'],[]
Lampanyctus indicus,60928,,['salt'],[]
Lampanyctus intricarius,7001,Atlantslaxsíld,['salt'],[]
Lampanyctus isaacsi,16689,艾氏珍灯鱼,['salt'],[]
Lampanyctus iselinoides,55103,似艾氏珍灯鱼,['salt'],[]
Lampanyctus jordani,23003,Brokenline lanternfish,['salt'],[]
Lampanyctus lepidolychnus,16761,Mermaid lanternfish,['salt'],[]
Lampanyctus lineatus,10269,Lanternfish,['salt'],[]
Lampanyctus macdonaldi,7002,Brun lysprikkfisk,['salt'],[]
Lampanyctus macropterus,47147,大鰭珍燈魚,['salt'],[]
Lampanyctus niger,7441,Black lantern fish,['salt'],[]
Lampanyctus nobilis,7413,Hoso-tongari-hadaka,['salt'],[]
Lampanyctus omostigma,54416,同点珍灯鱼,['salt'],[]
Lampanyctus parvicauda,54417,Lampfish,['salt'],[]
Lampanyctus photonotus,15820,Divertido,['salt'],[]
Lampanyctus phyllisae,60929,,['salt'],[]
Lampanyctus pusillus,623,Aladynka,['salt'],[]
Lampanyctus regalis,2734,Lampanikt,['salt'],[]
Lampanyctus ritteri,5371,Broadfin lampfish,['salt'],[]
Lampanyctus simulator,23004,Hoso-mame-hadaka,['salt'],[]
Lampanyctus steinbecki,7414,Longfin lampfish,['salt'],[]
Lampanyctus tenuiformis,7415,Nettai-niji-hadaka,['salt'],[]
Lampanyctus turneri,16763,Kata-hadaka,['salt'],[]
Lampanyctus vadulus,16697,Hirenaga-hadaka,['salt'],[]
Lampanyctus wisneri,60930,,['salt'],[]
