ScientificName,SpecCode,CommonName,Environments,Subspecies
Barbatula altayensis,60458,Altai trulling,['fresh'],[]
Barbatula barbatula,6377,Almindelig smerling,['fresh'],[]
Barbatula bergamensis,63276,Bergama trulling,['fresh'],[]
Barbatula compressirostris,63190,Lamekoon-trulling,['fresh'],[]
Barbatula dgebuadzei,63196,,['fresh'],[]
Barbatula emuensis,70347,,['fresh'],[]
Barbatula farsica,55314,Farsi trulling,['fresh'],[]
Barbatula gibba,66838,Küüraktrulling,['fresh'],[]
Barbatula golubtsovi,65972,Tõva trulling,['fresh'],[]
Barbatula liaoyangensis,70345,,['fresh'],[]
Barbatula linjiangensis,70349,,['fresh'],[]
Barbatula markakulensis,68943,,['fresh'],[]
Barbatula nuda,60017,Paljas trulling,['fresh'],[]
Barbatula potaninorum,64502,Potanini trulling,['fresh'],[]
Barbatula quignardi,65106,Lanquedoc stone loach,['fresh'],[]
Barbatula restricta,68942,,['fresh'],[]
Barbatula sawadai,64503,,['fresh'],[]
Barbatula sturanyi,65107,Tufëza e Ohrit,['fresh'],[]
Barbatula tomiana,68946,,['fresh'],[]
Barbatula toni,61649,Mřenka amurská,['fresh'],[]
Barbatula zetensis,65108,Zeta stone loach,['fresh'],[]
Barbatula zhangwuensis,70348,,['fresh'],[]
