ScientificName,SpecCode,CommonName,Environments,Subspecies
Homatula acuticephala,60469,Mřenka špičatohlavá,['fresh'],[]
Homatula anguillioides,55872,Anger-krihveltrull,['fresh'],[]
Homatula anteridorsalis,69467,,['fresh'],[]
Homatula berezowskii,69470,,['fresh'],[]
Homatula change,68877,,['fresh'],[]
Homatula cryptoclathrata,69468,,['fresh'],[]
Homatula disparizona,67357,Erivööt-hiinatrull,['fresh'],[]
Homatula erhaiensis,55877,Erhai krihveltrull,['fresh'],[]
Homatula guanheensis,69472,,['fresh'],[]
Homatula laxiclathra,66333,Laivööt-krihveltrull,['fresh'],[]
Homatula longidorsalis,66445,Pikkuim-krihveltrull,['fresh'],[]
Homatula nanpanjiangensis,65348,Nanpani krihveltrull,['fresh'],[]
Homatula nigra,69469,,['fresh'],[]
Homatula oligolepis,55876,Mřenka malošupinatá,['fresh'],[]
Homatula potanini,55865,Mřenka Potaninova,['fresh'],[]
Homatula pycnolepis,65472,Tihesoom-krihveltrull,['fresh'],[]
Homatula robusta,69645,粗壮荷马条鳅,['fresh'],[]
Homatula variegata,55413,Muutlik krihveltrull,['fresh'],[]
Homatula wenshanensis,69471,,['fresh'],[]
Homatula wujiangensis,55875,Mřenka sečuánská,['fresh'],[]
Homatula wuliangensis,67108,Wuliangi krihveltrull,['fresh'],[]
