ScientificName,SpecCode,CommonName,Environments,Subspecies
Nemacheilus anguilla,24528,Anger-kivitrulling,['fresh'],[]
Nemacheilus arenicolus,50378,Liiva-kivitrulling,['fresh'],[]
Nemacheilus banar,58504,Mřenka banar,['fresh'],[]
Nemacheilus binotatus,26879,Kaksijuovanuoliainen,['fresh'],[]
Nemacheilus chrysolaimos,22973,Mřenka jávská,['fresh'],[]
Nemacheilus cleopatra,58505,Mřenka Kleopatra,['fresh'],[]
Nemacheilus corica,24545,Koirka,['fresh'],[]
Nemacheilus doonensis,24551,Mřenka kandholská,['fresh'],[]
Nemacheilus drassensis,60636,Mřenka drasenská,['fresh'],[]
Nemacheilus elegantissimus,27464,Mřenka ozdobná,['fresh'],[]
Nemacheilus fasciatus,12265,Bänderschmerle,['fresh'],[]
Nemacheilus guentheri,24560,Güntheri kivitrulling,['fresh'],[]
Nemacheilus huapingensis,60465,Huapingi kivitrulling,['fresh'],[]
Nemacheilus inglisi,63200,,['fresh'],[]
Nemacheilus jaklesii,66412,,['fresh'],[]
Nemacheilus kaimurensis,60649,,['fresh'],[]
Nemacheilus kapuasensis,22974,Ikan batu,['fresh'],[]
Nemacheilus keralensis,24566,Koitha,['fresh'],[]
Nemacheilus lactogeneus,22976,Ikan batu,['fresh'],[]
Nemacheilus longipectoralis,22978,Mahakami kivitrulling,['fresh'],[]
Nemacheilus longipinnis,22979,Mřenka dlouhoploutvá,['fresh'],[]
Nemacheilus longistriatus,26833,Mřenka podélnopruhá,['fresh'],[]
Nemacheilus lunanensis,66158,Lunani kivitrulling,['fresh'],[]
Nemacheilus marang,65759,Marangi kivitrulling,['fresh'],[]
Nemacheilus masyae,12268,Arrow loach,['fresh'],[]
Nemacheilus menoni,60639,Menoni kivitrulling,['fresh'],[]
Nemacheilus monilis,24573,Kee-kivitrulling,['fresh'],[]
Nemacheilus olivaceus,5428,Mřenka bongonská,['fresh'],[]
Nemacheilus ornatus,55768,Kaunis kivitrulling,['fresh'],[]
Nemacheilus oxianus,22859,Amudar'inskii golets,['fresh'],[]
Nemacheilus pallidus,26834,Kahvatu kivitrulling,['fresh'],[]
Nemacheilus papillos,64996,Näsamokk-kivitrulling,['fresh'],[]
Nemacheilus paucimaculatus,66268,Hõrelaik-kivitrulling,['fresh'],[]
Nemacheilus periyarensis,62711,Periyari kivitrulling,['fresh'],[]
Nemacheilus petrubanarescui,24588,Bănărescu kivitrulling,['fresh'],[]
Nemacheilus pfeifferae,22980,Batu,['fresh'],[]
Nemacheilus platiceps,26838,Lamepea-kivitrulling,['fresh'],[]
Nemacheilus pulchellus,24592,Koitha,['fresh'],[]
Nemacheilus rueppelli,24605,Chikli,['fresh'],[]
Nemacheilus saravacensis,22981,Ikan batu,['fresh'],[]
Nemacheilus selangoricus,12270,Fighting loach,['fresh'],[]
Nemacheilus shehensis,60637,Mřenka šehenská,['fresh'],[]
Nemacheilus shuangjiangensis,60189,Mřenka šuangjiangská,['fresh'],[]
Nemacheilus singhi,24624,Mřenka Singhova,['fresh'],[]
Nemacheilus spiniferus,22982,Ikan batu,['fresh'],[]
Nemacheilus stigmofasciatus,64898,Laikvööt-kivitrulling,['fresh'],[]
Nemacheilus subfusca,54498,Mřenka temná,['fresh'],[]
Nemacheilus tebo,64899,Tebo kivitrulling,['fresh'],[]
Nemacheilus triangularis,24647,Kaldlaik-kivitrulling,['fresh'],[]
Nemacheilus troglocataractus,6158,Blind cave loach,['fresh'],[]
Nemacheilus tuberigum,59974,Köbersaba-kivitrulling,['fresh'],[]
Nemacheilus yingjiangensis,60190,Mřenka jingjiangenská,['fresh'],[]
