ScientificName,SpecCode,CommonName,Environments,Subspecies
Oxynoemacheilus anatolicus,64651,Burdur loach,['fresh'],[]
Oxynoemacheilus angorae,25993,Angoora koontrulling,"['fresh', 'brackish']",[]
Oxynoemacheilus araxensis,55313,Araksi koontrulling,['fresh'],[]
Oxynoemacheilus argyrogramma,46530,Cöpçü baligi,['fresh'],[]
Oxynoemacheilus arsaniasus,69643,,['fresh'],[]
Oxynoemacheilus atili,66833,Atili koontrulling,['fresh'],[]
Oxynoemacheilus banarescui,63143,Bănărescu koontrulling,['fresh'],[]
Oxynoemacheilus bergi,69641,,['fresh'],[]
Oxynoemacheilus bergianus,55311,Bergi koontrulling,['fresh'],[]
Oxynoemacheilus brandtii,26135,Brandti koontrulling,['fresh'],[]
Oxynoemacheilus bureschi,57455,Bulgarian stone loach,['fresh'],[]
Oxynoemacheilus cemali,69640,,['fresh'],[]
Oxynoemacheilus ceyhanensis,63293,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus chomanicus,67285,Chomani koontrulling,['fresh'],[]
Oxynoemacheilus ciceki,68700,,['fresh'],[]
Oxynoemacheilus cilicicus,69642,,['fresh'],[]
Oxynoemacheilus cinicus,63286,Cini koontrulling,['fresh'],[]
Oxynoemacheilus cyri,67101,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus elsae,69639,,['fresh'],[]
Oxynoemacheilus ercisianus,66446,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus erdali,63290,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus eregliensis,63145,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus euphraticus,68530,Mřenka eufratská,['fresh'],[]
Oxynoemacheilus evreni,63295,Ceyhan sportive loach,['fresh'],[]
Oxynoemacheilus frenatus,54796,Banded Tigris loach,['fresh'],[]
Oxynoemacheilus galilaeus,27846,Galilea koontrulling,['fresh'],[]
Oxynoemacheilus germencicus,63275,Carian loach,['fresh'],[]
Oxynoemacheilus gyndes,68528,,['fresh'],[]
Oxynoemacheilus hamwii,54800,Hamwi koontrulling,['fresh'],[]
Oxynoemacheilus hanae,68529,,['fresh'],[]
Oxynoemacheilus hazarensis,68531,,['fresh'],[]
Oxynoemacheilus insignis,26495,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus kaynaki,64652,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus kentritensis,68654,,['fresh'],[]
Oxynoemacheilus kermanshahensis,54797,Karuni koontrulling,['fresh'],[]
Oxynoemacheilus kiabii,66360,Kiabi koontrulling,['fresh'],[]
Oxynoemacheilus kosswigi,64759,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus kurdistanicus,67283,Kurdistani koontrulling,['fresh'],[]
Oxynoemacheilus lenkoranensis,67105,Lenkorani koontrulling,['fresh'],[]
Oxynoemacheilus leontinae,27853,Liibanoni koontrulling,['fresh'],[]
Oxynoemacheilus longipinnis,64500,,['fresh'],[]
Oxynoemacheilus mediterraneus,63287,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus merga,47855,Caucasus stone loach,['fresh'],[]
Oxynoemacheilus mesudae,66832,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus muefiti,69644,,['fresh'],[]
Oxynoemacheilus namiri,60839,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus panthera,26499,Binun nemeri,['fresh'],[]
Oxynoemacheilus parvinae,68275,,['fresh'],[]
Oxynoemacheilus paucilepis,63292,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus persa,55315,Mřenka perská,['fresh'],[]
Oxynoemacheilus phasicus,69637,,['fresh'],[]
Oxynoemacheilus phoxinoides,63288,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus pindus,46532,Pindose koontrulling,['fresh'],[]
Oxynoemacheilus samanticus,63596,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus seyhanensis,63673,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus seyhanicola,63294,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus shehabi,69612,,['fresh'],[]
Oxynoemacheilus simavicus,63144,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus theophilii,63189,Çöpçü balığı,['fresh'],[]
Oxynoemacheilus tigris,26498,Aleppo koontrulling,['fresh'],[]
Oxynoemacheilus tongiorgii,55317,Mřenka kulská,['fresh'],[]
Oxynoemacheilus veyseli,69638,,['fresh'],[]
Oxynoemacheilus zagrosensis,67284,Zagrose koontrulling,['fresh'],[]
Oxynoemacheilus zarzianus,68527,,['fresh'],[]
