ScientificName,SpecCode,CommonName,Environments,Subspecies
Paracanthocobitis abutwebi,68122,Hillstream zipper loach,['fresh'],[]
Paracanthocobitis adelaideae,68123,Checkerboard zipper loach,['fresh'],[]
Paracanthocobitis canicula,68124,Houndstooth zipper loach,['fresh'],[]
Paracanthocobitis linypha,68126,Sewing needle zipper loach,['fresh'],[]
Paracanthocobitis maekhlongensis,68127,Maekhlong zipper loach,['fresh'],[]
Paracanthocobitis mandalayensis,67106,Mandalay ogatrull,['fresh'],[]
Paracanthocobitis marmorata,68819,Marmorated zipper loach,['fresh'],[]
Paracanthocobitis nigrolineata,68817,Blacklined zipper loach,['fresh'],[]
Paracanthocobitis phuketensis,68820,,['fresh'],[]
Paracanthocobitis triangula,68818,Wedged zipper loach,['fresh'],[]
Paracanthocobitis zonalternans,24649,Erikiri-ogatrull,['fresh'],[]
