ScientificName,SpecCode,CommonName,Environments,Subspecies
Paracobitis abrishamchiani,70256,,['fresh'],[]
Paracobitis atrakensis,67831,Atrak crested loach,['fresh'],[]
Paracobitis basharensis,67569,Bashari hinktrulling,['fresh'],[]
Paracobitis ghazniensis,55841,Ghazni hinktrulling,['fresh'],[]
Paracobitis hagiangensis,65685,Hagiangi hinktrulling,['fresh'],[]
Paracobitis hircanica,67886,Hircan crested loach,['fresh'],[]
Paracobitis longicauda,22904,Eastern crested loach,['fresh'],[]
Paracobitis malapterura,22889,Grebenchatyi golets zapadnyi,['fresh'],[]
Paracobitis maolanensis,64014,Maolani hinktrulling,['fresh'],[]
Paracobitis molavii,67570,Molavi hinktrulling,['fresh'],[]
Paracobitis persa,67571,Fârsi hinktrulling,['fresh'],[]
Paracobitis phongthoensis,65718,Loodevietnami hinktrulling,['fresh'],[]
Paracobitis posterodorsalus,64021,Guangxi hinktrulling,['fresh'],[]
Paracobitis rhadinaea,55322,Helmandi hinktrulling,['fresh'],[]
Paracobitis salihae,69785,,['fresh'],[]
Paracobitis vignai,55323,Mřenka seistanská,['fresh'],[]
Paracobitis zabgawraensis,67572,Western crested loach,['fresh'],[]
