ScientificName,SpecCode,CommonName,Environments,Subspecies
Nemipterus andamanensis,70208,,['salt'],[]
Nemipterus aurifilum,5845,Yellowlip,['salt'],[]
Nemipterus aurora,15162,Dawn threadfin bream,['salt'],[]
Nemipterus balinensis,5846,Balinese threadfin,['salt'],[]
Nemipterus balinensoides,5847,Dwarf threadfin,"['brackish', 'salt']",[]
Nemipterus bathybius,4564,Bakay,['salt'],[]
Nemipterus bipunctatus,5851,Andaq,['salt'],[]
Nemipterus celebicus,5848,Bisugo,['salt'],[]
Nemipterus flavomandibularis,69402,Yellow-jaw threadfin bream,['salt'],[]
Nemipterus furcosus,5843,Bisugo,"['brackish', 'salt']",[]
Nemipterus gracilis,5849,Graceful threadfin bream,['salt'],[]
Nemipterus hexodon,4565,Baga,['salt'],[]
Nemipterus isacanthus,5850,Bisugo,['salt'],[]
Nemipterus japonicus,4559,Ang koh lee,['salt'],[]
Nemipterus marginatus,4566,Bak-ay,['salt'],[]
Nemipterus mesoprion,4567,Bisugo,['salt'],[]
Nemipterus nematophorus,4558,Aji-aji,['salt'],[]
Nemipterus nematopus,5415,Bakay,['salt'],[]
Nemipterus nemurus,4568,Akaten-Itoyori,['salt'],[]
Nemipterus peronii,4554,Andaq,"['brackish', 'salt']",[]
Nemipterus randalli,5852,Andaq,['salt'],[]
Nemipterus sugillatus,69187,Bluecheek threadfin bream,['salt'],[]
Nemipterus tambuloides,5844,Bisugo,['salt'],[]
Nemipterus theodorei,5853,Theodore's butterfly bream,['salt'],[]
Nemipterus thosaporni,5414,Cá Lượng,['salt'],[]
Nemipterus virgatus,396,Baga dorada,['salt'],[]
Nemipterus vitiensis,5854,Fiji threadfin bream,['salt'],[]
Nemipterus zysron,5855,Andaq,['salt'],[]
