ScientificName,SpecCode,CommonName,Environments,Subspecies
Nettenchelys bellottii,61211,Štíhlohlavec bellottův,['salt'],[]
Nettenchelys dionisi,58278,Dionisi luitsangerjas,['salt'],[]
Nettenchelys erroriensis,58719,Errori luitsangerjas,['salt'],[]
Nettenchelys exoria,58718,Florida luitsangerjas,['salt'],[]
Nettenchelys gephyra,10561,Bridge duckbill eel,['salt'],[]
Nettenchelys inion,58717,Bahama luitsangerjas,['salt'],[]
Nettenchelys paxtoni,56546,Paxtoni luitsangerjas,['salt'],[]
Nettenchelys proxima,70524,,['salt'],[]
Nettenchelys pygmaea,58710,Pygmy pikeconger,['salt'],[]
Nettenchelys taylori,58705,Štíhlohlavec taylorův,['salt'],[]
