ScientificName,SpecCode,CommonName,Environments,Subspecies
Aphyosemion abacinum,9813,Hurmeviiripyrstö,['fresh'],[]
Aphyosemion ahli,9707,Afiosemion alya,['fresh'],[]
Aphyosemion alpha,58658,,['fresh'],[]
Aphyosemion amoenum,55986,Punaeväviiripyrstö,['fresh'],[]
Aphyosemion aurantiacum,69062,,['fresh'],[]
Aphyosemion aureum,9710,Aprikoosiviiripyrstö,['fresh'],[]
Aphyosemion australe,8770,Bunter Prachtkärpfling,['fresh'],[]
Aphyosemion bamilekorum,9711,Bamileke killi,['fresh'],[]
Aphyosemion barakoniense,69060,,['fresh'],[]
Aphyosemion batesii,9712,Bates' killi,['fresh'],[]
Aphyosemion bitaeniatum,9713,Cauda-de-lira-vermelha,['fresh'],[]
Aphyosemion bitteri,68544,,['fresh'],[]
Aphyosemion bivittatum,9714,Afiosemion dvukhpolosyi,['fresh'],[]
Aphyosemion bualanum,9716,Kekem-Pachtkärpfling,['fresh'],[]
Aphyosemion buytaerti,9717,Buytaerts Prachtkärpfling,['fresh'],[]
Aphyosemion callipteron,49552,Koruvaanija,['fresh'],[]
Aphyosemion calliurum,9718,Banner lyretail,['fresh'],[]
Aphyosemion cameronense,9719,Cameroon killi,['fresh'],[]
Aphyosemion campomaanense,64894,,['fresh'],[]
Aphyosemion castaneum,66275,,['fresh'],[]
Aphyosemion caudofasciatum,9720,Caudal-stripe killi,['fresh'],[]
Aphyosemion celiae,9723,Celia's Aphysemion,['fresh'],[]
Aphyosemion chauchei,9722,Chauche's Aphysemion,['fresh'],[]
Aphyosemion christyi,9724,Christy's Lyretail,['fresh'],[]
Aphyosemion citrineipinnis,9726,Lemon-Finned Killi,['fresh'],[]
Aphyosemion coeleste,9727,Himmelblauer Prachtkärpfling,['fresh'],[]
Aphyosemion cognatum,9728,Punaviiripyrstö,['fresh'],[]
Aphyosemion congicum,9729,Congo killi,['fresh'],[]
Aphyosemion cryptum,69594,,['fresh'],[]
Aphyosemion cyanoflavum,69592,,['fresh'],[]
Aphyosemion cyanostictum,9815,Gabon jewelfish,['fresh'],[]
Aphyosemion dargei,49475,Mbam killi,['fresh'],[]
Aphyosemion decorsei,9730,Punapilkkuviiripyrstö,['fresh'],[]
Aphyosemion ecucuense,64222,,['fresh'],[]
Aphyosemion edeanum,49478,Edea killi,['fresh'],[]
Aphyosemion elberti,54027,Red barred killi,['fresh'],[]
Aphyosemion elegans,9731,Elegant killi,['fresh'],[]
Aphyosemion erythron,64224,,['fresh'],[]
Aphyosemion escherichi,9760,Escherich's killi,['fresh'],[]
Aphyosemion etsamense,62540,,['fresh'],[]
Aphyosemion exigoideum,9733,False jewel killi,['fresh'],[]
Aphyosemion exiguum,9734,Gelber Rotstreifen-Prachkärpfling,['fresh'],[]
Aphyosemion fellmanni,68941,,['fresh'],[]
Aphyosemion ferranti,9735,費氏旗鮰,['fresh'],[]
Aphyosemion flammulatum,69059,,['fresh'],[]
Aphyosemion flavocyaneum,69058,,['fresh'],[]
Aphyosemion franzwerneri,9737,Goby killi,['fresh'],[]
Aphyosemion fulgens,9818,Oranssiviiripyrstö,['fresh'],[]
Aphyosemion gabunense,9738,Böhms Gabun-Prachtkärpfling,['fresh'],[]
Aphyosemion georgiae,9819,Georgies Prachtkärpfling,['fresh'],[]
Aphyosemion grelli,67152,,['fresh'],[]
Aphyosemion hanneloreae,49479,Hannelore's killi,['fresh'],[]
Aphyosemion heinemanni,9744,Heinemann's killi,['fresh'],[]
Aphyosemion hera,59248,,['fresh'],[]
Aphyosemion herzogi,9745,Herzog's killi,['fresh'],[]
Aphyosemion hofmanni,9746,Hofmann's killi,['fresh'],[]
Aphyosemion jeanhuberi,68432,,['fresh'],[]
Aphyosemion joergenscheeli,9748,Liekkiviiripyrstö,['fresh'],[]
Aphyosemion kouamense,58483,,['fresh'],[]
Aphyosemion koungueense,64055,,['fresh'],[]
Aphyosemion labarrei,9750,Neonviiripyrstö,['fresh'],[]
Aphyosemion lambertorum,9751,Kobolttiviiripyrstö,['fresh'],[]
Aphyosemion lefiniense,49700,Keltakärkiviiripyrstö,['fresh'],[]
Aphyosemion lividum,64575,,['fresh'],[]
Aphyosemion loennbergii,9753,Kupariviiripyrstö,['fresh'],[]
Aphyosemion louessense,9754,Louesse-Prachtkärpfling,['fresh'],[]
Aphyosemion lugens,49481,Suruviiripyrstö,['fresh'],[]
Aphyosemion lujae,9755,Kongonviiripyrstö,['fresh'],[]
Aphyosemion maculatum,9756,Gefleckter Prachtkärpfling,['fresh'],[]
Aphyosemion malumbresi,64576,,['fresh'],[]
Aphyosemion mandoroense,69593,,['fresh'],[]
Aphyosemion melanogaster,62951,,['fresh'],[]
Aphyosemion melinoeides,64057,,['fresh'],[]
Aphyosemion mengilai,67478,,['fresh'],[]
Aphyosemion mimbon,9761,Voiviiripyrstö,['fresh'],[]
Aphyosemion musafirii,66073,,['fresh'],[]
Aphyosemion ocellatum,9773,Luomiviiripyrstö,['fresh'],[]
Aphyosemion ogoense,9775,Gartners Prachtkärpfling,['fresh'],[]
Aphyosemion omega,64056,,['fresh'],[]
Aphyosemion pamaense,67086,,['fresh'],[]
Aphyosemion pascheni,9776,Grauer Prachtkärpfling,['fresh'],[]
Aphyosemion passaroi,49701,Tummaviiripyrstö,['fresh'],[]
Aphyosemion plagitaenium,65301,,['fresh'],[]
Aphyosemion poliaki,49719,Lyhtyviiripyrstö,['fresh'],[]
Aphyosemion polli,49482,,['fresh'],[]
Aphyosemion primigenium,9777,Punalinjaviiripyrstö,['fresh'],[]
Aphyosemion pseudoelegans,66733,,['fresh'],[]
Aphyosemion punctatum,9779,Pilkkuviiripyrstö,['fresh'],[]
Aphyosemion punctulatum,62950,,['fresh'],[]
Aphyosemion pusillum,69061,,['fresh'],[]
Aphyosemion raddai,9782,Raddas Prachtkärpfling,['fresh'],[]
Aphyosemion rectogoense,9784,Kardinaaliviiripyrstö,['fresh'],[]
Aphyosemion riggenbachi,9785,Hohkaviiripyrstö,['fresh'],[]
Aphyosemion rubrogaster,69063,,['fresh'],[]
Aphyosemion schioetzi,9790,Aurinkoviiripyrstö,['fresh'],[]
Aphyosemion schluppi,9791,Schlupps Prachtkärpfling,['fresh'],[]
Aphyosemion schoutedeni,66489,,['fresh'],[]
Aphyosemion seegersi,9820,西格双鳍鰕鮰,['fresh'],[]
Aphyosemion splendopleure,9793,Dværgfanekarpe,['fresh'],[]
Aphyosemion striatum,9795,Gestreifter Prachtkärpfling,['fresh'],[]
Aphyosemion teugelsi,65872,,['fresh'],[]
Aphyosemion thysi,9796,Thys Prachtkärpfling,['fresh'],[]
Aphyosemion tirbaki,60323,,['fresh'],[]
Aphyosemion trilineatus,9798,三線旗鮰,['fresh'],[]
Aphyosemion volcanum,9801,Nfvong,['fresh'],[]
Aphyosemion wachtersi,9802,Keltaviiripyrstö,['fresh'],[]
Aphyosemion wildekampi,9809,Kirsikkaviiripyrstö,['fresh'],[]
Aphyosemion wuendschi,49828,Wuendsch's killi,['fresh'],[]
Aphyosemion zygaima,9812,Mindouli-Prachtkärpfling,['fresh'],[]
