ScientificName,SpecCode,CommonName,Environments,Subspecies
Epiplatys annulatus,9821,Banded panchax,['fresh'],[]
Epiplatys ansorgii,60566,Ansorges Hechtling,['fresh'],[]
Epiplatys atratus,67085,,['fresh'],[]
Epiplatys barmoiensis,9823,Barmoi-Hechtling,['fresh'],[]
Epiplatys biafranus,9825,Biafra-Hechtling,['fresh'],[]
Epiplatys bifasciatus,2474,Kaksijuovavaanija,['fresh'],[]
Epiplatys cashneri,69812,,['fresh'],[]
Epiplatys chaperi,2475,Chaperi lamepeafundulus,['fresh'],[]
Epiplatys chevalieri,12734,Chevaliers Hechtling,['fresh'],[]
Epiplatys coccinatus,9826,Purppuravaanija,['fresh'],[]
Epiplatys dageti,2476,Juovavaanijakala,['fresh'],[]
Epiplatys duboisi,9706,Dubois' Panchax,['fresh'],[]
Epiplatys esekanus,9827,Eseka-Hechtling,['fresh'],[]
Epiplatys etzeli,2477,Etzels Hechtling,['fresh'],[]
Epiplatys fasciolatus,9828,Kirjovaanija,['fresh'],[]
Epiplatys grahami,9830,Grahams Hechtling,['fresh'],[]
Epiplatys guineensis,49553,Guinea-Hechtling,['fresh'],[]
Epiplatys hildegardae,9831,Hildegards Hechtling,['fresh'],[]
Epiplatys huberi,9832,Hubers Hechtling,['fresh'],[]
Epiplatys infrafasciatus,65895,Rathkes Sechsbandhechtling,['fresh'],[]
Epiplatys josianae,9833,乔赛扁鮰,['fresh'],[]
Epiplatys lamottei,9834,Kobolttivaanija,['fresh'],[]
Epiplatys longiventralis,9836,Hohtovaanija,['fresh'],[]
Epiplatys mesogramma,9847,Laikkuvaanija,['fresh'],[]
Epiplatys multifasciatus,9837,Boulengers Hechtling,['fresh'],[]
Epiplatys neumanni,49554,Neumanns Hechtling,['fresh'],[]
Epiplatys njalaensis,9838,Njala-Hechtling,['fresh'],[]
Epiplatys olbrechtsi,2478,Loistovaanija,['fresh'],[]
Epiplatys phoeniceps,9839,Schönkopfhechtling,['fresh'],[]
Epiplatys roloffi,9840,Roloffs Hechtling,['fresh'],[]
Epiplatys ruhkopfi,9841,Ruhkopf-Hechtling,['fresh'],[]
Epiplatys sangmelinensis,9842,Sangmelima-Hechtling,['fresh'],[]
Epiplatys sexfasciatus,9843,Dzorkpletoe,['fresh'],[]
Epiplatys singa,9844,Korundivaanija,['fresh'],[]
Epiplatys spilargyreius,2479,Fupaba,['fresh'],[]
Epiplatys togolensis,53777,Toog-Sechsbandhechtling,['fresh'],[]
