ScientificName,SpecCode,CommonName,Environments,Subspecies
Nothobranchius albertinensis,69308,,['fresh'],[]
Nothobranchius albimarginatus,58735,,['fresh'],[]
Nothobranchius angelae,69092,,['fresh'],[]
Nothobranchius annectens,58736,,['fresh'],[]
Nothobranchius attenboroughi,69312,,['fresh'],[]
Nothobranchius balamaensis,69822,,['fresh'],[]
Nothobranchius bellemansi,67523,,['fresh'],[]
Nothobranchius bojiensis,49565,Boji Plains nothobranch,['fresh'],[]
Nothobranchius boklundi,65466,,['fresh'],[]
Nothobranchius brieni,9850,,['fresh'],[]
Nothobranchius capriviensis,68316,Caprivi Nothobranchius,['fresh'],[]
Nothobranchius cardinalis,64278,Cardinal Nothobranchius,['fresh'],[]
Nothobranchius chochamandai,67520,,['fresh'],[]
Nothobranchius cooperi,69677,,['fresh'],[]
Nothobranchius derhami,69273,,['fresh'],[]
Nothobranchius ditte,69993,,['fresh'],[]
Nothobranchius eggersi,9852,Orchideen-Prachtgrundkärpfling,['fresh'],[]
Nothobranchius elongatus,9853,Elongate nothobranch,['fresh'],[]
Nothobranchius elucens,69991,,['fresh'],[]
Nothobranchius fasciatus,49568,Gestreifter Prachtgrundkärpfling,['fresh'],[]
Nothobranchius flagrans,67752,,['fresh'],[]
Nothobranchius flammicomantis,60324,,['fresh'],[]
Nothobranchius foerschi,9854,Foerschs Prachtgrundkärpfling,['fresh'],[]
Nothobranchius furzeri,9855,African turquoise killifish,['fresh'],[]
Nothobranchius fuscotaeniatus,59249,Kobolttiviuhkapyrstö,['fresh'],[]
Nothobranchius geminus,59721,,['fresh'],[]
Nothobranchius guentheri,4715,Bunter Prachtgrundfisch,['fresh'],[]
Nothobranchius hassoni,62114,,['fresh'],[]
Nothobranchius hengstleri,63511,,['fresh'],[]
Nothobranchius hoermanni,69316,,['fresh'],[]
Nothobranchius insularis,69091,,['fresh'],[]
Nothobranchius interruptus,9856,Kikambala nothobranch,['fresh'],[]
Nothobranchius itigiensis,69323,,['fresh'],[]
Nothobranchius ivanovae,66752,,['fresh'],[]
Nothobranchius janpapi,9857,Jan Paps Prachtgrundkärpfling,['fresh'],[]
Nothobranchius jubbi,9858,Blauer Prachtgrundkärpfling,['fresh'],[]
Nothobranchius kadleci,65261,,['fresh'],[]
Nothobranchius kafuensis,49569,Heloviuhkapyrstö,['fresh'],[]
Nothobranchius kardashevi,66751,,['fresh'],[]
Nothobranchius kilomberoensis,59722,,['fresh'],[]
Nothobranchius kirki,8385,Kirks Prachtfundulus,['fresh'],[]
Nothobranchius korthausae,9859,Korthaus Prachtfundulus,['fresh'],[]
Nothobranchius krammeri,64707,,['fresh'],[]
Nothobranchius krysanovi,65873,,['fresh'],[]
Nothobranchius kwalensis,69068,,['fresh'],[]
Nothobranchius lourensi,9860,Grüner Prachtgrundkärpfling,['fresh'],[]
Nothobranchius lucius,65315,,['fresh'],[]
Nothobranchius luekei,49570,Lükes Prachtgrundkärpfling,['fresh'],[]
Nothobranchius makondorum,65314,,['fresh'],[]
Nothobranchius malaissei,9861,馬氏假鰓鮰,['fresh'],[]
Nothobranchius matanduensis,69987,,['fresh'],[]
Nothobranchius melanospilus,9862,Blackspotted nothobranch,['fresh'],[]
Nothobranchius microlepis,9863,Small scaled nothobranch,['fresh'],[]
Nothobranchius milvertzi,67365,,['fresh'],[]
Nothobranchius mkuziensis,68984,,['fresh'],[]
Nothobranchius moameensis,69326,,['fresh'],[]
Nothobranchius neumanni,9864,Neumanns Prachtgrundkärpfling,['fresh'],[]
Nothobranchius niassa,67477,,['fresh'],[]
Nothobranchius nikiforovi,69686,,['fresh'],[]
Nothobranchius nubaensis,61632,,['fresh'],[]
Nothobranchius occultus,67527,,['fresh'],[]
Nothobranchius ocellatus,49579,Augenfleck-Prachtgrundkärpfling,['fresh'],[]
Nothobranchius oestergaardi,66037,,['fresh'],[]
Nothobranchius orthonotus,8379,Beira killifish,['fresh'],[]
Nothobranchius ottoschmidti,69093,,['fresh'],[]
Nothobranchius palmqvisti,9865,Hohtoviuhkapyrstö,['fresh'],[]
Nothobranchius patrizii,9866,Blue notho,['fresh'],[]
Nothobranchius pienaari,65874,,['fresh'],[]
