ScientificName,SpecCode,CommonName,Environments,Subspecies
Trematomus amphitreta,63466,,['salt'],[]
Trematomus bernacchii,7053,Austrobacalao esmeral,['salt'],[]
Trematomus brachysoma,7050,Austrobacalao mocho,['salt'],[]
Trematomus eulepidotus,7054,Blunt scalyhead,['salt'],[]
Trematomus hansoni,7055,Austrobacalao rayado,['salt'],[]
Trematomus lepidorhinus,7056,Slender scalyhead,['salt'],[]
Trematomus loennbergii,7057,Austrobacalao escamudo,['salt'],[]
Trematomus newnesi,7058,Austrobacalao oscuro,['salt'],[]
Trematomus nicolai,7059,Mustuim-trematoom,['salt'],[]
Trematomus peninsulae,7038,Pithead,['salt'],[]
Trematomus pennellii,7060,Sharp-spined notothen,['salt'],[]
Trematomus scotti,7061,Austrobacalao coronado,['salt'],[]
Trematomus tokarevi,7062,Bigeye notothen,['salt'],[]
Trematomus vicarius,7063,Orange isfisk,['salt'],[]
