ScientificName,SpecCode,CommonName,Environments,Subspecies
Malthopsis annulifera,7603,Ring triangular batfish,['salt'],[]
Malthopsis apis,69441,Apine triangular batfish,['salt'],[]
Malthopsis arrietty,69447,Short-horn triangular batfish,['salt'],[]
Malthopsis asperata,67296,Roughspine batfish,['salt'],[]
Malthopsis austrafricana,67317,Southern African triangular batfish,['salt'],[]
Malthopsis bradburyae,67316,Bradbury's triangular batfish,['salt'],[]
Malthopsis bulla,69442,Flatscale triangular batfish,['salt'],[]
Malthopsis formosa,69449,Taiwanese triangular batfish,['salt'],[]
Malthopsis gigas,65442,Giant triangular batfish,['salt'],[]
Malthopsis gnoma,58676,Atlantic triangular batfish,['salt'],[]
Malthopsis jordani,23250,Hawaiian triangular batfish,['salt'],[]
Malthopsis kobayashii,65989,Kobayashi's triangular batfish,['salt'],[]
Malthopsis lutea,7602,Fûryû-uo,['salt'],[]
Malthopsis mcgroutheri,69443,McGrouther's triangular batfish,['salt'],[]
Malthopsis mitrigera,23166,Kagi-fûryû-uo,['salt'],[]
Malthopsis oculata,69444,Bigeye triangular batfish,['salt'],[]
Malthopsis parva,67298,Arrowhead batfish,['salt'],[]
Malthopsis provocator,69446,Prickle triangular batfish,['salt'],[]
Malthopsis retifera,64926,Reticulate triangular batfish,['salt'],[]
Malthopsis tetrabulla,69445,Queensland triangular batfish,['salt'],[]
Malthopsis tiarella,23218,Goma-fûryû-uo,['salt'],[]
Malthopsis velutina,69448,Polynesian triangular batfish,['salt'],[]
