ScientificName,SpecCode,CommonName,Environments,Subspecies
Monomitopus agassizii,28225,Agashii-kumaitachiuo,['salt'],[]
Monomitopus americanus,54171,美洲单趾鼬鳚,['salt'],[]
Monomitopus conjugator,54164,鱗首單趾鼬鳚,['salt'],[]
Monomitopus garmani,54169,加曼氏单趾鼬鳚,['salt'],[]
Monomitopus kumae,23234,Kuma-itachiuo,['salt'],[]
Monomitopus longiceps,54167,長頭單趾鼬鳚,['salt'],[]
Monomitopus magnus,54172,,['salt'],[]
Monomitopus malispinosus,54166,絨鱗單趾鼬鳚,['salt'],[]
Monomitopus metriostoma,5096,前口单趾鼬鳚,['salt'],[]
Monomitopus microlepis,54168,細鱗單趾鼬鳚,['salt'],[]
Monomitopus nigripinnis,16787,黑鰭單趾鼬鳚,['salt'],[]
Monomitopus pallidus,23235,Yaeba-kuma-itachiuo,['salt'],[]
Monomitopus torvus,54165,野单趾鼬鳚,['salt'],[]
Monomitopus vitiazi,54170,Spearcheek cusk,['salt'],[]
