ScientificName,SpecCode,CommonName,Environments,Subspecies
Neobythites alcocki,60966,,['salt'],[]
Neobythites analis,10251,Black-edged cuskeel,['salt'],[]
Neobythites andamanensis,60967,,['salt'],[]
Neobythites australiensis,60969,Australian cusk,['salt'],[]
Neobythites bimaculatus,54245,Twospot cusk,['salt'],[]
Neobythites bimarginatus,54244,双缘新鼬鳚,['salt'],[]
Neobythites braziliensis,54479,,"['brackish', 'salt']",[]
Neobythites crosnieri,56354,克氏新鼬鳚,['salt'],[]
Neobythites elongatus,54478,長身新鼬鳚,['salt'],[]
Neobythites fasciatus,56356,横带新鼬鳚,['salt'],[]
Neobythites fijiensis,60970,,['salt'],[]
Neobythites franzi,60971,Franz's cusk,['salt'],[]
Neobythites gilli,47856,Brótula amarillenta,['salt'],[]
Neobythites gloriae,70093,,['salt'],[]
Neobythites javaensis,60972,,['salt'],[]
Neobythites kenyaensis,56357,肯尼亚新鼬鳚,['salt'],[]
Neobythites lombokensis,70094,,['salt'],[]
Neobythites longipes,10647,Longray cusk,['salt'],[]
Neobythites longispinis,60973,,['salt'],[]
Neobythites longiventralis,54248,長腹新鼬鳚,['salt'],[]
Neobythites machidai,67383,Machida-itachiuo,['salt'],[]
Neobythites macrocelli,60974,,['salt'],[]
Neobythites macrops,10648,Spotfin cusk,['salt'],[]
Neobythites malayanus,10685,馬來亞新鼬鳚,['salt'],[]
Neobythites malhaensis,56358,印度洋新鼬鳚,['salt'],[]
Neobythites marginatus,54476,Stripefin brotula,['salt'],[]
Neobythites marianaensis,60975,,['salt'],[]
Neobythites marquesaensis,60976,,['salt'],[]
Neobythites meteori,56372,米氏新鼬鳚,['salt'],[]
Neobythites monocellatus,54472,,['salt'],[]
Neobythites multidigitatus,54480,,['salt'],[]
Neobythites multiocellatus,65077,,['salt'],[]
Neobythites multistriatus,54262,多带新鼬鳚,['salt'],[]
Neobythites musorstomi,60977,,['salt'],[]
Neobythites natalensis,56373,南非新鼬鳚,['salt'],[]
Neobythites neocaledoniensis,54250,新喀里多尼亚新鼬鳚,['salt'],[]
Neobythites nigriventris,60978,Blackbelly cusk,['salt'],[]
Neobythites ocellatus,54471,,['salt'],[]
Neobythites pallidus,54253,Pale cusk,['salt'],[]
Neobythites purus,12551,Pure cusk,['salt'],[]
Neobythites sereti,60979,,['salt'],[]
Neobythites sinensis,60980,,['salt'],[]
Neobythites sivicola,12989,Cá Chồn gai,['salt'],[]
Neobythites soelae,60981,Soela cusk,['salt'],[]
Neobythites somaliaensis,56374,索馬里新鼬鳚,['salt'],[]
Neobythites steatiticus,47207,Barred cusk eel,['salt'],[]
Neobythites stefanovi,15598,Dark fin cusk eel,['salt'],[]
Neobythites stelliferoides,54200,Brótula de hebra,['salt'],[]
Neobythites stigmosus,23237,Shima-stigmosus,['salt'],[]
Neobythites trifilis,54261,亚丁湾新鼬鳚,['salt'],[]
Neobythites unicolor,54475,单色新鼬鳚,['salt'],[]
Neobythites unimaculatus,54206,Onespot cusk,['salt'],[]
Neobythites vityazi,56375,維氏新鼬鳚,['salt'],[]
Neobythites zonatus,54260,条带新鼬鳚,['salt'],[]
