ScientificName,SpecCode,CommonName,Environments,Subspecies
Ophidion antipholus,62523,Congriperla narizón,['salt'],[]
Ophidion asiro,59810,Ashiro,['salt'],[]
Ophidion barbatum,1742,Ancrucere,['salt'],[]
Ophidion dromio,62524,Shorthead cusk-eel,['salt'],[]
Ophidion exul,56336,Exile cusk eel,['salt'],[]
Ophidion fulvum,13936,Congrio,['brackish'],[]
Ophidion galeoides,13937,Congrio,['salt'],[]
Ophidion genyopus,57268,Ravenous cusk,['salt'],[]
Ophidion grayi,3112,Blotched cusk-eel,['salt'],[]
Ophidion guianense,65028,Guianan cusk-eel,['salt'],[]
Ophidion holbrookii,3113,Band cusk-eel,['salt'],[]
Ophidion imitator,50321,Congriperla mimética,['salt'],[]
Ophidion iris,13938,Brighteye cusk-eel,['salt'],[]
Ophidion josephi,56337,Congriperla crestada,['salt'],[]
Ophidion lagochila,16423,Congriperla labio leporino,['salt'],[]
Ophidion lozanoi,56335,洛鼬鳚,['salt'],[]
Ophidion marginatum,3114,Striped cusk-eel,['salt'],[]
Ophidion metoecus,54869,氓鼬鳚,['salt'],[]
Ophidion muraenolepis,10526,Ashiro,['salt'],[]
Ophidion nocomis,16527,Congriperla nacarada,['salt'],[]
Ophidion puck,65029,Pallid cusk-eel,['salt'],[]
Ophidion robinsi,56338,Colonial cusk-eel,['salt'],[]
Ophidion rochei,25961,Amogalia,['salt'],[]
Ophidion saldanhai,56309,,['salt'],[]
Ophidion scrippsae,3115,Basketweave cusk-eel,['salt'],[]
Ophidion selenops,3116,Mooneye cusk-eel,['salt'],[]
Ophidion smithi,16788,南非孔鰾鼬鳚,['salt'],[]
