ScientificName,SpecCode,CommonName,Environments,Subspecies
Porogadus abyssalis,8985,Abadejo-abissal-do-Atlântico,['salt'],[]
Porogadus atripectus,56377,,['salt'],[]
Porogadus caboverdensis,69550,,['salt'],[]
Porogadus catena,54236,大头孔鼬鳚,['salt'],[]
Porogadus dracocephalus,69551,,['salt'],[]
Porogadus gracilis,27429,Cavernous assfish,['salt'],[]
Porogadus guentheri,23630,Tara-itachiuo,['salt'],[]
Porogadus lacrimatus,69712,,['salt'],[]
Porogadus longiceps,56378,,['salt'],[]
Porogadus melanocephalus,56376,,['salt'],[]
Porogadus mendax,69552,,['salt'],[]
Porogadus miles,16789,Abadèche mince,['salt'],[]
Porogadus nudus,54214,大西洋孔鼬鳚,['salt'],[]
Porogadus promelas,69715,,['salt'],[]
Porogadus solomonensis,69713,,['salt'],[]
Porogadus trichiurus,54237,,['salt'],[]
Porogadus turgidus,69711,,['salt'],[]
