ScientificName,SpecCode,CommonName,Environments,Subspecies
Opistognathus adelus,65788,Obscure jawfish,['salt'],[]
Opistognathus afer,65789,African jawfish,['salt'],[]
Opistognathus albicaudatus,66313,Whitetail jawfish,['salt'],[]
Opistognathus albomaculatus,70315,Whitespotted jawfish,['salt'],[]
Opistognathus alleni,64720,Abrolhos jawfish,['salt'],[]
Opistognathus asper,70316,Ashmore jawfish,['salt'],[]
Opistognathus aurifrons,3684,Guardián cabeziamarillo,['salt'],[]
Opistognathus aurolineatus,70350,Threestripe jawfish,['salt'],[]
Opistognathus bathyphilus,70351,Lansdowne jawfish,['salt'],[]
Opistognathus biporus,70352,Bipored jawfish,['salt'],[]
Opistognathus brasiliensis,54310,Darkfin jawfish,['salt'],[]
Opistognathus brochus,64729,,['salt'],[]
Opistognathus castelnaui,10356,Castelnau's jawfish,['salt'],[]
Opistognathus challenger,70353,,['salt'],[]
Opistognathus crassus,65796,Stout jawfish,['salt'],[]
Opistognathus cuvierii,50137,Båndhalet kæbefisk,['salt'],[]
Opistognathus cyanospilotus,65631,Blueblotch jawfish,['salt'],[]
Opistognathus darwiniensis,59066,Darwin jawfish,['salt'],[]
Opistognathus decorus,50817,Irezumi-amadai,['salt'],[]
Opistognathus dendriticus,59041,Dendtric jawfish,['salt'],[]
Opistognathus dipharus,65797,Tail beacon jawfish,['salt'],[]
Opistognathus elizabethensis,64725,Elizabeth jawfish,['salt'],[]
Opistognathus ensiferus,70227,Mannar jawfish,['salt'],[]
Opistognathus erdmanni,70356,Erdmann's jawfish,['salt'],[]
Opistognathus evermanni,23508,Niji-amadai,['salt'],[]
Opistognathus eximius,59038,Harlequin smiler,['salt'],[]
Opistognathus fenmutis,59083,哥伦比亚后颌鰧,['salt'],[]
Opistognathus fossoris,64731,,['salt'],[]
Opistognathus galapagensis,46576,Galapagos jawfish,['salt'],[]
Opistognathus gilberti,16444,Gul kæbefisk,['salt'],[]
Opistognathus hongkongiensis,59033,香港后颌鰧,['salt'],[]
Opistognathus hopkinsi,23507,Ago-amadai,['salt'],[]
Opistognathus inornatus,59035,Black jawfish,['salt'],[]
Opistognathus iyonis,23506,Nirami-amadai,['salt'],[]
Opistognathus jacksoniensis,49413,Smiler,['salt'],[]
Opistognathus latitabundus,10862,Blotched jawfish,['salt'],[]
Opistognathus leprocarus,54308,Roughcheek jawfish,['salt'],[]
Opistognathus liturus,50819,Seto-amadai,['salt'],[]
Opistognathus lonchurus,3685,Bocón bigote,['salt'],[]
Opistognathus longinaris,65798,Long nostril jawfish,['salt'],[]
Opistognathus macrognathus,3686,Banded jawfish,['salt'],[]
Opistognathus macrolepis,59036,Bigscale jawfish,['salt'],[]
Opistognathus margaretae,16910,Halfscaled jawfish,['salt'],[]
Opistognathus maxillosus,3687,Bocón moteado,['salt'],[]
Opistognathus megalepis,59037,Bocón escamón,['salt'],[]
Opistognathus melachasme,3688,Gulmundet kæbefisk,['salt'],[]
Opistognathus mexicanus,46577,Bocón mexicano,['salt'],[]
Opistognathus muscatensis,8000,Jawfish,['salt'],[]
Opistognathus nigromarginatus,16913,Birdled jawfish,['salt'],[]
Opistognathus nothus,54309,Yellowmouth Jawfish,['salt'],[]
Opistognathus ocellicaudatus,70318,Eyespottail jawfish,['salt'],[]
Opistognathus panamaensis,46557,Panama-kæbefisk,['salt'],[]
Opistognathus papuensis,13508,Papua-kæbefisk,['salt'],[]
Opistognathus pardus,67473,Leopard jawfish,['salt'],[]
Opistognathus punctatus,6414,Boca grande,['salt'],[]
Opistognathus randalli,65634,Gold-specs jawfish,['salt'],[]
Opistognathus reticeps,64727,Reticulated jawfish,['salt'],[]
Opistognathus reticulatus,59065,Leopard jawfish,['salt'],[]
Opistognathus rhomaleus,46572,Bocón azul,['salt'],[]
Opistognathus robinsi,54311,Pletfinnet kæbefisk,['salt'],[]
Opistognathus rosenbergii,59028,Rosenberg's jawfish,['salt'],[]
Opistognathus rosenblatti,46578,Blåplettet kæbefisk,['salt'],[]
Opistognathus rufilineatus,64578,Red-Lined Jawfish,['salt'],[]
Opistognathus schrieri,68564,Curaçao jawfish,['salt'],[]
Opistognathus scops,46553,Bocón ocelado,['salt'],[]
Opistognathus seminudus,64722,Halfnaked jawfish,['salt'],[]
Opistognathus signatus,54313,鬼后颌鰧,['salt'],[]
Opistognathus simus,65799,Cargados jawfish,['salt'],[]
Opistognathus smithvanizi,64728,,['salt'],[]
Opistognathus solorensis,59030,Solor jawfish,['salt'],[]
Opistognathus stigmosus,64723,coral sea jawfish,['salt'],[]
Opistognathus thionyi,70319,Peixe bocão do Thiony,['salt'],[]
Opistognathus trimaculatus,70317,Threespot jawfish,['salt'],[]
Opistognathus variabilis,65635,Variable jawfish,['salt'],[]
Opistognathus verecundus,64726,Bashful jawfish,['salt'],[]
Opistognathus vicinus,70321,Brazilian dusky jawfish,['salt'],[]
Opistognathus walkeri,64730,,['salt'],[]
Opistognathus whitehursti,3689,Bocón prieto,['salt'],[]
