ScientificName,SpecCode,CommonName,Environments,Subspecies
Betta akarensis,12033,Akar betta,['fresh'],[]
Betta albimarginata,27008,Hvidsømmet kampfisk,['fresh'],[]
Betta anabatoides,12034,Bojownik lazcowy,['fresh'],[]
Betta antoni,62727,Blåplettet kampfisk,['fresh'],[]
Betta apollon,64579,Apollokampfisk,['fresh'],[]
Betta aurigans,62603,Guldplettet kampfisk,['fresh'],[]
Betta balunga,52329,Balung-Kampffisch,['fresh'],[]
Betta bellica,12035,Bojownik pregowany,['fresh'],[]
Betta breviobesa,52532,Storhovedet kampfisk,['fresh'],[]
Betta brownorum,25131,Rubinkampfisk,['fresh'],[]
Betta burdigala,27009,Blodrød kampfisk,['fresh'],[]
Betta channoides,27010,Käärmeenpäätaistelija,['fresh'],[]
Betta chini,25856,Guløjet kampfisk,['fresh'],[]
Betta chloropharynx,27011,Banka-kampfisk,['fresh'],[]
Betta coccina,25132,Punataistelija,['fresh'],[]
Betta compuncta,62732,Østlig kampfisk,['fresh'],[]
Betta cracens,63049,Jambi-kampfisk,['fresh'],[]
Betta dennisyongi,66805,Stribet kampfisk,['fresh'],[]
Betta dimidiata,25133,Emplasek,['fresh'],[]
Betta edithae,15896,Ediths betta,['fresh'],[]
Betta enisae,27021,Emplasek,['fresh'],[]
Betta falx,58078,Sumatrakampfisk,['fresh'],[]
Betta ferox,64580,Perlekampfisk,['fresh'],[]
Betta foerschi,15897,Chameleon-Kampffisch,['fresh'],[]
Betta fusca,12037,Dunkler Kampffisch,['fresh'],[]
Betta gladiator,62602,Gladiatorkampfisk,['fresh'],[]
Betta hendra,66921,Lille samuraikampfisk,['fresh'],[]
Betta hipposideros,27197,Ankerkampfisk,['fresh'],[]
Betta ibanorum,62207,Bako-kampfisk,['fresh'],[]
Betta ideii,62733,Orangefinnet kampfisk,['fresh'],[]
Betta imbellis,12038,Bojownik bezbronny,['fresh'],[]
Betta krataios,62728,Kraftig kampfisk,['fresh'],[]
Betta kuehnei,65156,Klovnekampfisk,['fresh'],[]
Betta lehi,62601,Bred kampfisk,['fresh'],[]
Betta livida,27252,Rødstribet kampfisk,['fresh'],[]
Betta macrostoma,12039,Augenfleck-Kampffisch,['fresh'],[]
Betta mahachaiensis,66633,Turkisplettet kampfisk,"['fresh', 'brackish']",[]
Betta mandor,62730,Mandor-samuraikampfisk,['fresh'],[]
Betta midas,65034,Midas-kampfisk,['fresh'],[]
Betta miniopinna,27007,Bintan-kampfisk,['fresh'],[]
Betta nuluhon,70587,Halestribet kampfisk,['fresh'],[]
Betta obscura,62604,Barito-kampfisk,['fresh'],[]
Betta ocellata,56315,Pistetaistelija,['fresh'],[]
Betta omega,69879,Omegakampfisk,"['fresh', 'brackish']",[]
Betta pallida,62876,Bleg kampfisk,['fresh'],[]
Betta pallifina,62610,Blåskællet kampfisk,['fresh'],[]
Betta pardalotos,65071,Fregnet kampfisk,['fresh'],[]
Betta patoti,25134,Naamiotaistelija,['fresh'],[]
Betta persephone,52394,Bladkampfisk,['fresh'],[]
Betta pi,52524,Pi-kampfisk,['fresh'],[]
Betta picta,12040,Betah,['fresh'],[]
Betta pinguis,52527,Emplasek,['fresh'],[]
Betta prima,51578,Kolmijuovataistelija,['fresh'],[]
Betta pugnax,12042,Bojownik nadobny,['fresh'],[]
Betta pulchra,27259,Korutaistelija,['fresh'],[]
Betta raja,63050,Grønstrubet kampfisk,['fresh'],[]
Betta renata,52521,Nyrekampfisk,['fresh'],[]
Betta rubra,12044,Cupang,['fresh'],[]
Betta rutilans,25189,Rusotaistelija,['fresh'],[]
Betta schalleri,27012,Mangestrålet kampfisk,['fresh'],[]
Betta siamorientalis,66987,Rødhalet kampfisk,['fresh'],[]
Betta simorum,27439,Opalkampfisk,['fresh'],[]
Betta simplex,51579,Krabi mouth brooder betta,['fresh'],[]
Betta smaragdina,12047,Blue betta,['fresh'],[]
Betta spilotogena,27199,Mustahuulitaistelija,['fresh'],[]
Betta splendens,4768,Belaga,['fresh'],[]
Betta stigmosa,62600,Mønstret kampfisk,['fresh'],[]
Betta stiktos,62611,Finneplettet kampfisk,['fresh'],[]
Betta strohi,25190,Kultaposkitaistelija,['fresh'],[]
Betta taeniata,12048,Banded fightingfish,['fresh'],[]
Betta tomi,27198,Mupor-kampfisk,['fresh'],[]
Betta tussyae,52395,Blåøjet rubinkampfisk,['fresh'],[]
Betta uberis,62731,Bredfinnet kampfisk,['fresh'],[]
Betta unimaculata,5440,Enkeltplettet kampfisk,['fresh'],[]
Betta waseri,25135,Isotaistelija,['fresh'],[]
