ScientificName,SpecCode,CommonName,Environments,Subspecies
Parapriacanthus argenteus,68448,Yellowhead sweeper,['salt'],[]
Parapriacanthus darros,68450,D'Arros sweeper,['salt'],[]
Parapriacanthus dispar,61107,Deep bullseye,['salt'],[]
Parapriacanthus elongatus,14387,Elongate bullseye,['salt'],[]
Parapriacanthus guentheri,68449,Egyptian sweeper,['salt'],[]
Parapriacanthus kwazulu,68451,Kwazulu sweeper,['salt'],[]
Parapriacanthus marei,61106,Redfin sweeper,['salt'],[]
Parapriacanthus punctulatus,68452,Dotted sweeper,['salt'],[]
Parapriacanthus rahah,68453,Rahah sweeper,['salt'],[]
Parapriacanthus ransonneti,5803,Ammasabodi,['salt'],[]
Parapriacanthus sharm,68454,Sharm sweeper,['salt'],[]
