ScientificName,SpecCode,CommonName,Environments,Subspecies
Etheostoma acuticeps,3396,Sharphead Darter,['fresh'],[]
Etheostoma akatulo,64879,Bluemask darter,['fresh'],[]
Etheostoma artesiae,61768,Redspot darter,['fresh'],[]
Etheostoma asprigene,3398,Mud darter,['fresh'],[]
Etheostoma atripinne,60867,Cumberland snubnose darter,['fresh'],[]
Etheostoma australe,6311,Conchos darter,['fresh'],[]
Etheostoma autumnale,65933,,['fresh'],[]
Etheostoma baileyi,10494,Emerald darter,['fresh'],[]
Etheostoma barbouri,3400,Tåresmutte,['fresh'],[]
Etheostoma barrenense,10506,Pragtsmutte,['fresh'],[]
Etheostoma basilare,61754,Corrugated darter,['fresh'],[]
Etheostoma bellator,61757,Warrior darter,['fresh'],[]
Etheostoma bellum,3401,Orangefin darter,['fresh'],[]
Etheostoma bison,50702,Buffalo darter,['fresh'],[]
Etheostoma blennioides,3402,Greenside darter,['fresh'],[]
Etheostoma blennius,3403,Blenny darter,['fresh'],[]
Etheostoma boschungi,3404,Slackwater Darter,['fresh'],[]
Etheostoma brevirostrum,56500,Holiday darter,['fresh'],[]
Etheostoma brevispinum,66104,Carolina fantail darter,['fresh'],[]
Etheostoma burri,50697,Brook darter,['fresh'],[]
Etheostoma caeruleum,3405,Dard arc-en-ciel,['fresh'],[]
Etheostoma camurum,3406,Blåbröstad Strömabborre,['fresh'],[]
Etheostoma cervus,61756,Chickasaw darter,['fresh'],[]
Etheostoma chermocki,61758,Vermilion darter,['fresh'],[]
Etheostoma chienense,56158,Relict darter,['fresh'],[]
Etheostoma chlorobranchium,3407,Greenfin darter,['fresh'],[]
Etheostoma chlorosomum,3408,Bluntnose darter,['fresh'],[]
Etheostoma chuckwachatte,61765,Lipstick darter,['fresh'],[]
Etheostoma cinereum,3409,Ashy Darter,['fresh'],[]
Etheostoma clinton,66657,Beaded darter,['fresh'],[]
Etheostoma collettei,3410,Creole darter,['fresh'],[]
Etheostoma collis,3411,Carolina darter,['fresh'],[]
Etheostoma colorosum,61759,Coastal darter,['fresh'],[]
