ScientificName,SpecCode,CommonName,Environments,Subspecies
Percina antesella,3485,Amber Darter,['fresh'],[]
Percina apina,68510,,['fresh'],[]
Percina apristis,66708,Guadalupe darter,['fresh'],[]
Percina aurantiaca,3486,Mandarinsmutte,['fresh'],[]
Percina aurolineata,3487,Goldline Darter,['fresh'],[]
Percina aurora,58920,Pearl darter,['fresh'],[]
Percina austroperca,58921,Southern logperch,['fresh'],[]
Percina bimaculata,65086,Chesapeake logperch,['fresh'],[]
Percina brevicauda,58923,Coal darter,['fresh'],[]
Percina brucethompsoni,67733,Ouachita darter,['fresh'],[]
Percina burtoni,3488,Blotchside darter,['fresh'],[]
Percina caprodes,3489,Bjælkesmutte,['fresh'],[]
Percina carbonaria,10442,Texas logperch,['fresh'],[]
Percina copelandi,3490,Channel darter,['fresh'],[]
Percina crassa,3491,Piedmont darter,['fresh'],[]
Percina crypta,64808,Halloween Darter,['fresh'],[]
Percina cymatotaenia,3492,Blåstribet smutte,['fresh'],[]
Percina evides,3493,Gilt darter,['fresh'],[]
Percina fulvitaenia,62276,Ozark logperch,['fresh'],[]
Percina gymnocephala,3494,Appalachia darter,['fresh'],[]
Percina jenkinsi,6314,Conasauga Logperch,['fresh'],[]
Percina kathae,58925,Mobile logperch,['fresh'],[]
Percina kusha,63482,Bridled darter,['fresh'],[]
Percina lenticula,3495,Freckled Darter,['fresh'],[]
Percina macrocephala,3496,Langhovedet smutte,['fresh'],[]
Percina macrolepida,3497,Bigscale logperch,['fresh'],[]
Percina maculata,3498,Blackside darter,['fresh'],[]
Percina nasuta,3499,Langnæset smutte,['fresh'],[]
Percina nevisense,58926,Chainback darter,['fresh'],[]
Percina nigrofasciata,3500,Blackbanded darter,['fresh'],[]
Percina notogramma,3501,Rygstribet smutte,['fresh'],[]
Percina oxyrhynchus,3503,Sharpnose darter,['fresh'],[]
Percina palmaris,3504,Bronze darter,['fresh'],[]
Percina pantherina,3505,Leopard Darter,['fresh'],[]
Percina peltata,3506,Shield darter,['fresh'],[]
Percina phoxocephala,3507,Slankhovedet smutte,['fresh'],[]
Percina rex,3508,Kongesmutte,['fresh'],[]
Percina roanoka,3509,Roanoke darter,['fresh'],[]
Percina sciera,3510,Dunkel smutte,['fresh'],[]
Percina shumardi,3511,Flodsmutte,['fresh'],[]
Percina sipsi,63483,Bankhead darter,['fresh'],[]
Percina smithvanizi,63484,Muscadine Darter,['fresh'],[]
Percina squamata,3512,Olive darter,['fresh'],[]
Percina stictogaster,56238,Frecklebelly darter,['fresh'],[]
Percina suttkusi,58927,Gulf logperch,"['fresh', 'brackish']",[]
Percina tanasi,3513,Snail Darter,['fresh'],[]
Percina uranidea,3514,Stargazing Darter,['fresh'],[]
Percina vigil,3502,Saddleback darter,['fresh'],[]
Percina williamsi,64024,Sickle darter,['fresh'],[]
