ScientificName,SpecCode,CommonName,Environments,Subspecies
Peristedion altipinne,60495,Cabrinha,['salt'],[]
Peristedion amblygenys,59161,,['salt'],[]
Peristedion antillarum,61102,Longnose armoured searobin,['salt'],[]
Peristedion barbiger,50090,Pez cocodrilo,['salt'],[]
Peristedion brevirostre,4016,Fladhovedet panserknurhane,['salt'],[]
Peristedion cataphractum,1746,African armoured searobin,['salt'],[]
Peristedion crustosum,50709,盔黃魴鮄,['salt'],[]
Peristedion ecuadorense,46230,Ebi-kihoubou,['salt'],[]
Peristedion gracile,4017,Ami-kihoubou,['salt'],[]
Peristedion greyae,61103,Alligator searobin,['salt'],[]
Peristedion imberbe,48374,Espátula lampiña,['salt'],[]
Peristedion liorhynchus,10441,Armoured gurnard,['salt'],[]
Peristedion longicornutum,68508,Longhorn armored gurnard,['salt'],[]
Peristedion longispatha,48376,Espátula larga,['salt'],[]
Peristedion miniatum,4018,Armored searobin,['salt'],[]
Peristedion nesium,65887,,['salt'],[]
Peristedion orientale,24025,Dōng fāng huáng fáng fú,['salt'],[]
Peristedion paucibarbiger,61105,Cortez searobin,['salt'],[]
Peristedion richardsi,70542,,['salt'],[]
Peristedion riversandersoni,24027,Heri-kihôbô,['salt'],[]
Peristedion thompsoni,4019,Cabrinha-de-chifre,['salt'],[]
Peristedion truncatum,46228,Black armoured searobin,['salt'],[]
Peristedion unicuspis,61104,,['salt'],[]
Peristedion weberi,10738,韋氏黃魴鮄,['salt'],[]
