ScientificName,SpecCode,CommonName,Environments,Subspecies
Lampetra aepyptera,2520,Least brook lamprey,['fresh'],[]
Lampetra alavariensis,66980,Aveiro silm,['fresh'],[]
Lampetra auremensis,66993,Ourémi silm,['fresh'],[]
Lampetra ayresii,2522,Lääneameerika silm,"['fresh', 'brackish', 'salt']",[]
Lampetra fluviatilis,4480,Almindelig flodlampret,"['fresh', 'brackish', 'salt']",[]
Lampetra hubbsi,2523,Central California brook lamprey,['fresh'],[]
Lampetra lanceolata,25844,Lamproie de ruisseau turque,"['fresh', 'brackish', 'salt']",[]
Lampetra lusitanica,66994,Lusitaania silm,['fresh'],[]
Lampetra pacifica,67149,Columbia silm,['fresh'],[]
Lampetra planeri,4481,Almindelig bæklampret,['fresh'],[]
Lampetra richardsoni,2528,Lamprey eel,['fresh'],[]
Lampetra soljani,68362,,['fresh'],[]
Lampetra zanandreai,25867,Ciriola,['fresh'],[]
