ScientificName,SpecCode,CommonName,Environments,Subspecies
Neostethus amaricola,26944,Harilik uusfalloskala,['brackish'],[]
Neostethus bicornis,24782,双角栉精器鱼,"['fresh', 'brackish']",[]
Neostethus borneensis,24784,婆罗栉精器鱼,"['fresh', 'brackish']",[]
Neostethus ctenophorus,26945,梳栉精器鱼,"['fresh', 'brackish']",[]
Neostethus djajaorum,59152,苏拉威西栉精器鱼,['brackish'],[]
Neostethus geminus,67349,,"['fresh', 'brackish']",[]
Neostethus lankesteri,24785,Busai,"['fresh', 'brackish']",[]
Neostethus palawanensis,26956,巴拉望栉精器鱼,"['brackish', 'salt']",[]
Neostethus robertsi,26957,罗氏栉精器鱼,"['fresh', 'brackish']",[]
Neostethus thessa,26943,Bolinao,"['fresh', 'brackish']",[]
Neostethus villadolidi,26954,維氏櫛精器魚,"['fresh', 'brackish', 'salt']",[]
Neostethus zamboangae,26955,吕宋栉精器鱼,"['brackish', 'salt']",[]
