ScientificName,SpecCode,CommonName,Environments,Subspecies
Pholis clemensi,3800,Langfinnet tangspræl,['salt'],[]
Pholis crassispina,23800,Spotted gunnel,['salt'],[]
Pholis fangi,60656,흰베도라치,['salt'],[]
Pholis fasciata,3802,Banded gunnel,['salt'],[]
Pholis gunnellus,3804,Almindelig tangspræl,"['brackish', 'salt']",[]
Pholis laeta,3805,Bracketed blenny,['salt'],[]
Pholis nea,61172,Aya-ginpo,['salt'],[]
Pholis nebulosa,10388,Ginpo,['salt'],[]
Pholis ornata,3806,Ayaginpo,['salt'],[]
Pholis picta,23799,Kirju võikala,['salt'],[]
Pholis schultzi,3807,Lêlethen,['salt'],[]
