ScientificName,SpecCode,CommonName,Environments,Subspecies
Plesiops auritus,50705,Earspot longfin,['salt'],[]
Plesiops cephalotaenia,14981,Headstripe longfin,['salt'],[]
Plesiops coeruleolineatus,8005,Banded devilfish,['salt'],[]
Plesiops corallicola,14983,Bluegill longfin,['salt'],[]
Plesiops facicavus,50729,Poreface longfin,['salt'],[]
Plesiops genaricus,50730,Cheekveil longfin,['salt'],[]
Plesiops gracilis,50732,Threadfin longfin,['salt'],[]
Plesiops insularis,27503,Island longfin,['salt'],[]
Plesiops malalaxus,50738,馬達加斯加鮗,['salt'],[]
Plesiops multisquamata,22823,Gespikkelde langvin,['salt'],[]
Plesiops mystaxus,27000,Moustache longfin,['salt'],[]
Plesiops nakaharae,23437,Nakahara-tanabata-uo,['salt'],[]
Plesiops nigricans,24438,Ikomen,['salt'],[]
Plesiops oxycephalus,23438,Cá Đông,['salt'],[]
Plesiops polydactylus,50746,多指鮗,['salt'],[]
Plesiops thysanopterus,50747,Tasselfin longfin,['salt'],[]
Plesiops verecundus,50748,Redtip longfin,['salt'],[]
