ScientificName,SpecCode,CommonName,Environments,Subspecies
Phalloceros alessandrae,64074,Alessandras tandkarpe,['fresh'],[]
Phalloceros anisophallos,64080,Roque toothcarp,['fresh'],[]
Phalloceros aspilos,64068,,['fresh'],[]
Phalloceros buckupi,64079,Jacareí toothcarp,['fresh'],[]
Phalloceros caudimaculatus,4685,barrigudinho,"['fresh', 'brackish']",[]
Phalloceros elachistos,64069,Córrego toothcarp,['fresh'],[]
Phalloceros enneaktinos,64070,Nine ray toothcarp,['fresh'],[]
Phalloceros harpagos,64072,Barrigudinho,['fresh'],[]
Phalloceros heptaktinos,64065,Seven ray toothcarp,['fresh'],[]
Phalloceros leptokeras,64067,Sapucaia toothcarp,['fresh'],[]
Phalloceros leticiae,64064,Araguaia toothcarp,['fresh'],[]
Phalloceros lucenorum,64077,Jaquiá toothcarp,['fresh'],[]
Phalloceros malabarbai,64075,Itapoá toothcarp,['fresh'],[]
Phalloceros megapolos,64076,Lindo toothcarp,['fresh'],[]
Phalloceros mikrommatos,64063,Seguro toothcarp,['fresh'],[]
Phalloceros ocellatus,64073,Prado toothcarp,['fresh'],[]
Phalloceros pellos,64081,Antonina toothcarp,['fresh'],[]
Phalloceros reisi,64083,Apiaí toothcarp,['fresh'],[]
Phalloceros spiloura,64082,Three point toothcarp,['fresh'],[]
Phalloceros titthos,64071,Breast toothcarp,['fresh'],[]
Phalloceros tupinamba,64066,Tupi toothcarp,['fresh'],[]
Phalloceros uai,64078,Barrigudinho,['fresh'],[]
