ScientificName,SpecCode,CommonName,Environments,Subspecies
Poecilopsetta albomaculata,47214,白斑瓦鰈,['salt'],[]
Poecilopsetta beanii,58866,Deepwater dab,['salt'],[]
Poecilopsetta colorata,10581,Colored righteye flounder,['salt'],[]
Poecilopsetta dorsialta,59208,,['salt'],[]
Poecilopsetta hawaiiensis,58868,夏威夷瓦鰈,['salt'],[]
Poecilopsetta inermis,49185,,['salt'],[]
Poecilopsetta macrocephala,61198,Bighead righteye flounder,['salt'],[]
Poecilopsetta multiradiata,65478,,['salt'],[]
Poecilopsetta natalensis,8905,African righteye flounder,['salt'],[]
Poecilopsetta normani,58850,諾氏瓦鰈,['salt'],[]
Poecilopsetta pectoralis,63403,,['salt'],[]
Poecilopsetta plinthus,15180,Brick sole,['salt'],[]
Poecilopsetta praelonga,10582,Alcock's narrowbody righteye flounder,['salt'],[]
Poecilopsetta vaynei,58869,,['salt'],[]
Poecilopsetta zanzibarensis,47215,桑給巴爾瓦鰈,['salt'],[]
