ScientificName,SpecCode,CommonName,Environments,Subspecies
Polymixia berndti,10273,Arameginme,['salt'],[]
Polymixia busakhini,52816,Busakhin's beardfish,['salt'],[]
Polymixia carmenae,70567,Barbudo,['salt'],[]
Polymixia fusca,52808,暗色须鳂,['salt'],[]
Polymixia japonica,12996,Barbu argenté,['salt'],[]
Polymixia longispina,52812,長棘鬚鰃,['salt'],[]
Polymixia lowei,3245,Barbudo,['salt'],[]
Polymixia nobilis,7557,Atlandi kakspoisur,['salt'],[]
Polymixia salagomeziensis,52815,东太平洋须鳂,['salt'],[]
Polymixia sazonovi,52818,萨氏,['salt'],[]
Polymixia yuri,52809,尤氏须鳂,['salt'],[]
