ScientificName,SpecCode,CommonName,Environments,Subspecies
Centropyge abei,64214,Abe's angelfish,['salt'],[]
Centropyge acanthops,9222,African cherubfish,['salt'],[]
Centropyge argi,3607,Angel ungu,['salt'],[]
Centropyge aurantia,10786,Golden angelfish,['salt'],[]
Centropyge aurantonotus,10958,Flameback angelfish,['salt'],[]
Centropyge bicolor,5454,Angel biru kuning,['salt'],[]
Centropyge bispinosa,5458,Adlo,['salt'],[]
Centropyge boylei,25427,Pebermynte-dværgkejserfisk,['salt'],[]
Centropyge cocosensis,68568,Cocos pygmy angelfish,['salt'],[]
Centropyge colini,8773,Cocos-Keeling angelfish,['salt'],[]
Centropyge debelius,25424,Blå Mauritius-dværgkejserfisk,['salt'],[]
Centropyge deborae,66462,Blue Velvet Angelfish,['salt'],[]
Centropyge eibli,10870,Angel abu doreng,['salt'],[]
Centropyge ferrugata,6667,Akaharayakko,['salt'],[]
Centropyge fisheri,7813,Boray-boray,['salt'],[]
Centropyge flavipectoralis,10974,Gulfinnet dværgkejserfisk,['salt'],[]
Centropyge flavissima,5457,Boray-boray,['salt'],[]
Centropyge heraldi,5665,Bagang-taring kuning,['salt'],[]
Centropyge hotumatua,10982,Blackear angelfish,['salt'],[]
Centropyge interrupta,10990,Japanese angelfish,['salt'],[]
Centropyge joculator,10997,Cocos angelfish,['salt'],[]
Centropyge loriculus,7814,Flame angel,"['brackish', 'salt']",[]
Centropyge multicolor,11000,Mangefarvet dværgkejserfisk,['salt'],[]
Centropyge multispinis,6549,Blaubrauner Herzogfisch,['salt'],[]
Centropyge nahackyi,25425,Nahacky's angelfish,['salt'],[]
Centropyge narcosis,47059,Narc angelfish,['salt'],[]
Centropyge nigriocellus,11100,Blackspot angelfish,['salt'],[]
Centropyge nox,6647,Dusky angel-fish,['salt'],[]
Centropyge potteri,7812,Potter's angel,['salt'],[]
Centropyge resplendens,11106,Resplendent angelfish,['salt'],[]
Centropyge shepardi,11111,Daidaiyakko,['salt'],[]
Centropyge tibicen,6548,Aburayakko,['salt'],[]
Centropyge venusta,11189,Blue-backed angelfish,['salt'],[]
Centropyge vrolikii,5447,Adlo,['salt'],[]
Centropyge woodheadi,68569,,['salt'],[]
