ScientificName,SpecCode,CommonName,Environments,Subspecies
Chromis abyssicola,11850,Deepsea chromis,['salt'],[]
Chromis abyssus,63552,Deep blue Chromis,['salt'],[]
Chromis albicauda,65211,White-caudal chromis,['salt'],[]
Chromis albomaculata,11851,Shiroboshi-suzumedai,['salt'],[]
Chromis alpha,5670,Alpha chromis,['salt'],[]
Chromis alta,11853,Castañeta alta,['salt'],[]
Chromis anadema,70468,Kanzashi-suzumedai,['salt'],[]
Chromis analis,6551,Brown puller,['salt'],[]
Chromis athena,64762,Athena chromis,['salt'],[]
Chromis atripectoralis,5450,Aoba-suzumedai,['salt'],[]
Chromis axillaris,11854,Grey chromis,['salt'],[]
Chromis bowesi,69007,Rhomboid Chromis,['salt'],[]
Chromis cadenati,11857,Cadenat's chromis,['salt'],[]
Chromis chromis,1706,Caligher,['salt'],[]
Chromis chrysura,6656,Amami suzumedai,['salt'],[]
Chromis cinerascens,11858,Gombing,['salt'],[]
Chromis circumaurea,63554,Gold-rim Chromis,['salt'],[]
Chromis crusma,11859,Castañeta,['salt'],[]
Chromis dasygenys,11860,Blouspikkel-chromis,['salt'],[]
Chromis degruyi,63555,DeGruy's Chromis,['salt'],[]
Chromis dispila,56865,Demoiselle,['salt'],[]
Chromis durvillei,65986,Bourbon Chromis,['salt'],[]
Chromis earina,63556,Spring Chromis,['salt'],[]
Chromis enchrysurus,3643,Caribbean chromis,['salt'],[]
Chromis flavapicis,58948,,['salt'],[]
Chromis flavaxilla,26638,Arabian chromis,['salt'],[]
Chromis flavicauda,11862,Cobalt chromis,['salt'],[]
Chromis flavomaculata,12418,Kihoshi-suzumedai,['salt'],[]
Chromis fumea,10842,Damselfish,['salt'],[]
Chromis gunting,69005,Scissors Chromis,['salt'],[]
Chromis hangganan,69006,Dark-margin Chromis,['salt'],[]
Chromis hypsilepis,9218,Brown puller,['salt'],[]
Chromis insolata,3644,Castañeta sol,['salt'],[]
Chromis jubauna,50101,巴西光鰓魚,['salt'],[]
Chromis kennensis,67999,肯礁光鰓魚,['salt'],[]
Chromis klunzingeri,11866,Blackhead puller,['salt'],[]
Chromis limbata,11868,Azores chromis,['salt'],[]
Chromis limbaughi,11869,Blue-and-yellow chromis,['salt'],[]
Chromis lubbocki,12419,Lubbock's chromis,['salt'],[]
Chromis mamatapara,69351,Castañeta de Michel,['salt'],[]
Chromis mirationis,12422,Bigeye chromis,['salt'],[]
Chromis monochroma,64210,Monochrome chromis,['salt'],[]
Chromis nigroanalis,12423,Kenyan chromis,['salt'],[]
Chromis nitida,9225,Barrier reef chromis,['salt'],[]
Chromis norfolkensis,69577,Norfolk Chromis,['salt'],[]
Chromis notata,12425,Bān qí guāng sāi yú,['salt'],[]
Chromis okamurai,12426,Okinawa chromis,['salt'],[]
Chromis onumai,63941,Ryusei-suzumedai,['salt'],[]
Chromis opercularis,12427,'Atoti,['salt'],[]
Chromis ovalis,7818,Blue damsel,['salt'],[]
Chromis pamae,26693,南太平洋光鰓魚,['salt'],[]
Chromis pelloura,12428,Duskytail chromis,['salt'],[]
Chromis pembae,12429,Pemba chromis,['salt'],[]
Chromis planesi,62017,,['salt'],[]
Chromis punctipinnis,3646,Blacksmith,['salt'],[]
Chromis pura,64212,Pura chromis,['salt'],[]
Chromis randalli,9226,Māmata,['salt'],[]
Chromis sahulensis,69578,Sahul Chromis,['salt'],[]
Chromis sanctaehelenae,12430,Bastard Cavalley Pilot,['salt'],[]
Chromis scotochiloptera,12431,Philippines chromis,['salt'],[]
Chromis scotti,3647,Azulejo de canto,['salt'],[]
Chromis struhsakeri,9227,Struhsaker's chromis,['salt'],[]
Chromis ternatensis,5677,Apiapi,['salt'],[]
Chromis tingting,69028,Gekko-suzumedai,['salt'],[]
Chromis torquata,69611,,['salt'],[]
Chromis trialpha,12432,Leuchtpunkt-Chromis,['salt'],[]
Chromis unipa,65214,Unipa chromis,['salt'],[]
Chromis vanbebberae,69363,Castañeta coliblanca,['salt'],[]
Chromis verater,7819,Threespot chromis,['salt'],[]
Chromis viridis,5679,'Atoti,['salt'],[]
Chromis weberi,5680,Damselfish,['salt'],[]
Chromis westaustralis,12433,West Australian chromis,['salt'],[]
Chromis woodsi,12434,Spiny chromis,['salt'],[]
Chromis xanthochira,5681,Gombing,['salt'],[]
Chromis xanthopterygia,12436,Arabian chromis,['salt'],[]
Chromis xanthura,5682,Black chromis,['salt'],[]
Chromis xouthos,63874,Yellow-brown chromis,['salt'],[]
Chromis xutha,12437,Bêju-suzumedai,['salt'],[]
Chromis yamakawai,67940,Kihoshi-suzumedai,['salt'],[]
