ScientificName,SpecCode,CommonName,Environments,Subspecies
Dascyllus abudafur,68973,,['salt'],[]
Dascyllus albisella,7816,Alo ilo i,['salt'],[]
Dascyllus aruanus,5110,Apiapi,['salt'],[]
Dascyllus auripinnis,59464,,['salt'],[]
Dascyllus carneus,7798,Blauflossen-Mönchfisch,['salt'],[]
Dascyllus flavicaudus,11972,Black damselfish,['salt'],[]
Dascyllus marginatus,11985,Arabischer Preußenfisch,['salt'],[]
Dascyllus melanurus,5111,Black tail humbug,['salt'],[]
Dascyllus reticulatus,5113,Baro-baro,['salt'],[]
Dascyllus strasburgi,9254,Strasburg's dascyllus,['salt'],[]
Dascyllus trimaculatus,5112,'Atoti,['salt'],[]
