ScientificName,SpecCode,CommonName,Environments,Subspecies
Parma alboscapularis,12465,Black angelfish,['salt'],[]
Parma bicolor,12467,Bicolor parma,['salt'],[]
Parma kermadecensis,12468,Kermadec scalyfin,['salt'],[]
Parma mccullochi,12469,Common scalyfin,['salt'],[]
Parma microlepis,12470,White-ear,['salt'],[]
Parma occidentalis,12471,Western scalyfin,['salt'],[]
Parma oligolepis,10239,Big-scale parma,['salt'],[]
Parma polylepis,6619,Banded parma,['salt'],[]
Parma unifasciata,12473,Girdled parma,['salt'],[]
Parma victoriae,12474,Common scalyfin,['salt'],[]
