ScientificName,SpecCode,CommonName,Environments,Subspecies
Pycnochromis abruptus,58941,,['salt'],[]
Pycnochromis acares,5668,Dwarf chromis,['salt'],[]
Pycnochromis agilis,69154,,['salt'],[]
Pycnochromis alleni,11852,Allen's chromis,['salt'],[]
Pycnochromis amboinensis,5671,Ambon chromis,['salt'],[]
Pycnochromis atripes,4982,Darkfin chromis,['salt'],[]
Pycnochromis bami,26704,巴氏光鰓魚,['salt'],[]
Pycnochromis caudalis,5672,Blue-axil chromis,['salt'],[]
Pycnochromis delta,5673,Chromis delta,['salt'],[]
Pycnochromis dimidiatus,11861,Apiapi,['salt'],[]
Pycnochromis fatuhivae,58943,,['salt'],[]
Pycnochromis fieldi,66758,Two-tone Chromis,['salt'],[]
Pycnochromis flavipectoralis,11863,Damselfish,['salt'],[]
Pycnochromis hanui,7817,Chocolate dip damsel,['salt'],[]
Pycnochromis howsoni,67702,,['salt'],[]
Pycnochromis iomelas,8126,'Atoti,['salt'],[]
Pycnochromis leucurus,6599,Apiapi,['salt'],[]
Pycnochromis lineatus,5128,Castañuela,['salt'],[]
Pycnochromis margaritifer,5675,'Atoti,['salt'],[]
Pycnochromis nigrurus,12424,Blacktail chromis,['salt'],[]
Pycnochromis ovatiformis,6927,Maru-suzumedai,['salt'],[]
Pycnochromis pacifica,5669,Agile chromis,['salt'],[]
Pycnochromis retrofasciatus,5676,Blackbar chromis,['salt'],[]
Pycnochromis vanderbilti,5678,'Atoti,['salt'],[]
