ScientificName,SpecCode,CommonName,Environments,Subspecies
Prochilodus argenteus,51249,Corumbatá,['fresh'],[]
Prochilodus brevis,51245,Brazilian bocachico,['fresh'],[]
Prochilodus britskii,50339,布氏鯪脂鯉,['fresh'],[]
Prochilodus costatus,53128,Corumbatá,['fresh'],[]
Prochilodus harttii,51248,Curimatã,['fresh'],[]
Prochilodus lacustris,57804,Curimatá,['fresh'],[]
Prochilodus lineatus,13056,Carimbatá,['fresh'],[]
Prochilodus magdalenae,26150,Bocachico,['fresh'],[]
Prochilodus mariae,51243,Coporo,['fresh'],[]
Prochilodus nigricans,11894,Black prochilodus,['fresh'],[]
Prochilodus reticulatus,5491,Bocachico,"['fresh', 'brackish']",[]
Prochilodus rubrotaeniatus,25670,Alumassee,['fresh'],[]
Prochilodus vimboides,51246,Corimbatá,['fresh'],[]
