ScientificName,SpecCode,CommonName,Environments,Subspecies
Psychrolutes inermis,17335,Kumanokajika,['salt'],[]
Psychrolutes macrocephalus,10709,大头隐棘杜父鱼,['salt'],[]
Psychrolutes marcidus,14347,Australian sculpin,['salt'],[]
Psychrolutes marmoratus,51729,Fathead,['salt'],[]
Psychrolutes microporos,58788,,['salt'],[]
Psychrolutes occidentalis,51728,Vestaustralsk paddeulk,['salt'],[]
Psychrolutes paradoxus,4135,Haletudse-paddeulk,['salt'],[]
Psychrolutes phrictus,11732,Blob sculpin,['salt'],[]
Psychrolutes sigalutes,4090,Soft sculpin,['salt'],[]
Psychrolutes sio,51730,Chascón,['salt'],[]
Psychrolutes subspinosus,27746,Gaddahnýtill,['salt'],[]
