ScientificName,SpecCode,CommonName,Environments,Subspecies
Dipturus acrobelus,63930,Deepwater skate,['salt'],[]
Dipturus amphispinus,67530,Ridgeback skate,['salt'],[]
Dipturus apricus,63931,Pale tropical skate,['salt'],[]
Dipturus argentinensis,64715,Argentiina tiibrai,['salt'],[]
Dipturus batis,2058,An sciata,['salt'],[]
Dipturus bullisi,7604,Bullis skate,['salt'],[]
Dipturus campbelli,25569,Blackspot skate,['salt'],[]
Dipturus canutus,63962,Grey skate,['salt'],[]
Dipturus chinensis,63316,Hiina rai,['salt'],[]
Dipturus crosnieri,54103,Madagascar skate,['salt'],[]
Dipturus diehli,61090,Ogasaba-tiibrai,['salt'],[]
Dipturus doutrei,5012,Javalin skate,['salt'],[]
Dipturus ecuadoriensis,54442,Ecuador skate,['salt'],[]
Dipturus flavirostris,54601,Kollakoon-tiibrai,['salt'],[]
Dipturus garricki,51859,Garricki tiibrai,['salt'],[]
Dipturus gigas,15414,Giant skate,['salt'],[]
Dipturus grahamorum,63966,Grahami tiibrai,['salt'],[]
Dipturus gudgeri,24079,Baairog,['salt'],[]
Dipturus innominatus,13145,New Zealand smooth skate,['salt'],[]
Dipturus intermedius,68885,Intermediate skate,['salt'],[]
Dipturus johannisdavisi,47130,Travancore skate,['salt'],[]
Dipturus kwangtungensis,54036,Bān yáo,['salt'],[]
Dipturus laevis,2561,Barndoor skate,['salt'],[]
Dipturus lamillai,69294,Raya guará,['salt'],[]
Dipturus lanceorostratus,7961,Raia ratazana,"['brackish', 'salt']",[]
Dipturus leptocauda,54117,Dunstaartrog,['salt'],[]
Dipturus macrocauda,22551,Bigtail skate,['salt'],[]
Dipturus melanospilus,63934,Blacktip skate,['salt'],[]
Dipturus mennii,59787,Menni tiibrai,['salt'],[]
Dipturus nidarosiensis,8900,Mustavatsarausku,['salt'],[]
Dipturus olseni,2563,Laiuim-tiibrai,['salt'],[]
Dipturus oregoni,51860,Haakstaartrog,['salt'],[]
Dipturus oxyrinchus,7616,Alène,['salt'],[]
Dipturus pullopunctatus,7960,Libe tiibrai,['salt'],[]
Dipturus queenslandicus,63935,Queensland deepwater skate,['salt'],[]
Dipturus springeri,7962,Korekõht-tiibrai,['salt'],[]
Dipturus stenorhynchus,7963,Boegrog,['salt'],[]
Dipturus teevani,7607,Caribbean skate,['salt'],[]
Dipturus tengu,15415,Acutenose skate,['salt'],[]
Dipturus trachyderma,50858,Kare tiibrai,['salt'],[]
Dipturus wengi,63969,Wengi tiibrai,['salt'],[]
Dipturus wuhanlingi,63867,China skate,['salt'],[]
