ScientificName,SpecCode,CommonName,Environments,Subspecies
Okamejei acutispina,15416,Jiān jí yáo,['salt'],[]
Okamejei arafurensis,63971,Arafura nöbirai,['salt'],[]
Okamejei boesemani,15417,Black sand skate,['salt'],[]
Okamejei cairae,65551,Borneo nöbirai,['salt'],[]
Okamejei heemstrai,25557,Aafrika nöbirai,['salt'],[]
Okamejei hollandi,4585,Cá Đuối quạt,['salt'],[]
Okamejei kenojei,15418,Gangi-ei,['salt'],[]
Okamejei leptoura,63973,Nöörsaba-nöbirai,['salt'],[]
Okamejei meerdervoortii,22778,Bigeye skate,['salt'],[]
Okamejei mengae,63809,Mengi nöbirai,['salt'],[]
Okamejei ornata,67679,Ornate skate,['salt'],[]
Okamejei panayensis,69709,Philippine skate,['salt'],[]
Okamejei philipi,65661,Philipi nöbirai,['salt'],[]
Okamejei schmidti,22915,Browneye skate,['salt'],[]
