ScientificName,SpecCode,CommonName,Environments,Subspecies
Raja asterias,8924,Arzilla,['salt'],[]
Raja brachyura,4552,Arraia,['salt'],[]
Raja clavata,2059,Arraia,['salt'],[]
Raja herwigi,8926,Cape Verde skate,['salt'],[]
Raja maderensis,5013,Arraia,['salt'],[]
Raja mauritaniensis,8923,Aafrika rai,['salt'],[]
Raja microocellata,5492,Arrai,['salt'],[]
Raja miraletus,5014,Arzilla,"['brackish', 'salt']",[]
Raja montagui,4329,Baqara Na'hmeh,['salt'],[]
Raja ocellifera,69056,,['salt'],[]
Raja parva,68027,African brown skate,['salt'],[]
Raja pita,28130,Pita skate,['salt'],[]
Raja polystigma,9283,Črnopegasta raža,['salt'],[]
Raja radula,8929,Baqaret Mabrad,['salt'],[]
Raja rondeleti,9303,Achinovatos,['salt'],[]
Raja rouxi,8934,Guinea rai,['salt'],[]
Raja straeleni,5015,Biscuit skate,['salt'],[]
Raja undulata,7617,Aaltorausku,['salt'],[]
