ScientificName,SpecCode,CommonName,Environments,Subspecies
Rajella annandalei,12580,Annandale's skate,['salt'],[]
Rajella barnardi,54445,Bigthorn skate,['salt'],[]
Rajella bathyphila,8935,Abyssal skate,['salt'],[]
Rajella bigelowi,8936,Arraia,['salt'],[]
Rajella caudaspinosa,10123,Karesaba-väikerai,['salt'],[]
Rajella challengeri,63974,Challenger skate,['salt'],[]
Rajella dissimilis,8937,Geestrog,['salt'],[]
Rajella eisenhardti,54444,Galapagos grey skate,['salt'],[]
Rajella fuliginea,7610,Nõgi-väikerai,['salt'],[]
Rajella fyllae,7615,Canada tömprai,['salt'],[]
Rajella kukujevi,54102,Keskatlandi väikerai,['salt'],[]
Rajella leoparda,8938,Leopard skate,['salt'],[]
Rajella lintea,6422,Blaggarnsrocka,['salt'],[]
Rajella nigerrima,52469,Blackish skate,['salt'],[]
Rajella paucispinosa,67533,Sparsely-thorned skate,['salt'],[]
Rajella purpuriventralis,7611,Murasaki-kasube,['salt'],[]
Rajella ravidula,23860,Gladrugrog,['salt'],[]
Rajella sadowskii,54118,Brasiilia väikerai,['salt'],[]
