ScientificName,SpecCode,CommonName,Environments,Subspecies
Anablepsoides amanan,64703,,['fresh'],[]
Anablepsoides amphoreus,49725,Meripihkariippuja,['fresh'],[]
Anablepsoides atratus,49726,Puikkoriippuja,['fresh'],[]
Anablepsoides bahianus,49727,巴伊亚溪鮰,['fresh'],[]
Anablepsoides beniensis,49728,玻利維亞溪鮰,['fresh'],[]
Anablepsoides bibosi,70437,,['fresh'],[]
Anablepsoides bondi,66802,,['fresh'],[]
Anablepsoides cajariensis,65954,,['fresh'],[]
Anablepsoides caurae,62317,,['fresh'],[]
Anablepsoides cearensis,64986,,['fresh'],[]
Anablepsoides chapare,70438,,['fresh'],[]
Anablepsoides christinae,49740,Christinas Bachling,['fresh'],[]
Anablepsoides cryptocallus,49457,Martinique-Bachling,['fresh'],[]
Anablepsoides deltaphilus,49746,Orinoco-Bachling,['fresh'],[]
Anablepsoides derhami,49748,Sepelriippuja,['fresh'],[]
Anablepsoides elongatus,49750,Gestreckter Bachling,['fresh'],[]
Anablepsoides erberi,49751,Coca-Bachling,['fresh'],[]
Anablepsoides fransvermeuleni,68961,,['fresh'],[]
Anablepsoides gamae,67235,,['fresh'],[]
Anablepsoides gaucheri,64590,,['fresh'],[]
Anablepsoides hartii,4769,Bonds Bachling,"['fresh', 'brackish']",[]
Anablepsoides henschelae,67233,,['fresh'],[]
Anablepsoides holmiae,49759,Loistoriippuja,['fresh'],[]
Anablepsoides igneus,49760,Kamulibo,['fresh'],[]
Anablepsoides immaculatus,49761,Schwarzsaum-Bachling,['fresh'],[]
Anablepsoides intermittens,49762,姥溪鮰,['fresh'],[]
Anablepsoides iridescens,49763,Sateenkaaririippuja,['fresh'],[]
Anablepsoides jari,67231,,['fresh'],[]
Anablepsoides jucundus,49766,Puyo-Bachling,['fresh'],[]
Anablepsoides lanceolatus,49768,,['fresh'],[]
Anablepsoides limoncochae,49770,Limoncocha-Bachling,['fresh'],[]
Anablepsoides lineasoppilatae,67201,,['fresh'],[]
Anablepsoides luitalimae,70059,,['fresh'],[]
Anablepsoides lungi,49772,Kamoulibo,"['fresh', 'brackish']",[]
Anablepsoides mazaruni,49774,,['fresh'],[]
Anablepsoides micropus,49775,Kleinflossen-Bachling,['fresh'],[]
Anablepsoides monticola,47124,危瓜多尔溪鮰,['fresh'],[]
Anablepsoides ophiomimus,49781,蛇溪鮰,['fresh'],[]
Anablepsoides ornatus,49782,Bunter Bachling,['fresh'],[]
Anablepsoides ottonii,67234,,['fresh'],[]
Anablepsoides parlettei,66370,,['fresh'],[]
Anablepsoides peruanus,49784,Perunriippuja,['fresh'],[]
Anablepsoides roraima,67232,,['fresh'],[]
Anablepsoides rubrolineatus,49791,Rubiiniriippuja,['fresh'],[]
Anablepsoides speciosus,49793,灿溪鮰,['fresh'],[]
Anablepsoides stagnatus,49794,沼栖溪鮰,['fresh'],[]
Anablepsoides taeniatus,49796,,['fresh'],[]
Anablepsoides tessellatus,49798,格紋溪鮰,['fresh'],[]
Anablepsoides tocantinensis,65469,,['fresh'],[]
Anablepsoides urophthalmus,49800,Guldrivulus,['fresh'],[]
Anablepsoides urubuiensis,70156,,['fresh'],[]
Anablepsoides vieirai,70061,,['fresh'],[]
Anablepsoides waimacui,49802,Platinariippuja,['fresh'],[]
Anablepsoides xanthonotus,49804,Gelber Bachling,['fresh'],[]
Anablepsoides xinguensis,65470,,['fresh'],[]
