ScientificName,SpecCode,CommonName,Environments,Subspecies
Cynodonichthys birkhahni,49731,伯氏溪鮰,['fresh'],[]
Cynodonichthys boehlkei,49736,貝氏溪鮰,['fresh'],[]
Cynodonichthys brunneus,49737,Melariippuja,['fresh'],[]
Cynodonichthys chucunaque,49833,Taimenriippuja,['fresh'],[]
Cynodonichthys elegans,49749,Eleganter Bachling,['fresh'],[]
Cynodonichthys frommi,49753,弗氏溪鮰,['fresh'],[]
Cynodonichthys fuscolineatus,49754,Arenal rivulus,['fresh'],[]
Cynodonichthys glaucus,49756,Blue rivulus,['fresh'],[]
Cynodonichthys godmani,66795,,['fresh'],[]
Cynodonichthys hendrichsi,66796,,['fresh'],[]
Cynodonichthys hildebrandi,49758,Olomina,['fresh'],[]
Cynodonichthys isthmensis,49764,Isthmian rivulus,['fresh'],[]
Cynodonichthys kuelpmanni,49767,库氏溪鮰,['fresh'],[]
Cynodonichthys leucurus,49769,,['fresh'],[]
Cynodonichthys magdalenae,11887,Hohtoriippuja,['fresh'],[]
Cynodonichthys monikae,49776,莫尼卡溪鮰,['fresh'],[]
Cynodonichthys montium,49778,,['fresh'],[]
Cynodonichthys myersi,66797,,"['fresh', 'brackish']",[]
Cynodonichthys pacificus,49783,太平溪鮰,['fresh'],[]
Cynodonichthys rubripunctatus,49790,,['fresh'],[]
Cynodonichthys siegfriedi,49832,Olomina,['fresh'],[]
Cynodonichthys sucubti,66798,,['fresh'],[]
Cynodonichthys tenuis,49439,Almirante del Hule,['fresh'],[]
Cynodonichthys uroflammeus,49799,Flame rivulus,['fresh'],[]
Cynodonichthys villwocki,61598,,['fresh'],[]
Cynodonichthys wassmanni,61594,,['fresh'],[]
Cynodonichthys weberi,49803,Laikkuriippuja,['fresh'],[]
