ScientificName,SpecCode,CommonName,Environments,Subspecies
Moema apurinan,62020,,['fresh'],[]
Moema beucheyi,67998,,['fresh'],[]
Moema funkneri,70440,,['fresh'],[]
Moema hellneri,62024,,['fresh'],[]
Moema heterostigma,62036,,['fresh'],[]
Moema juanderibaensis,70074,Juan Deriba killifish,['fresh'],[]
Moema kenwoodi,70439,,['fresh'],[]
Moema nudifrontata,62025,,['fresh'],[]
Moema ortegai,67992,,['fresh'],[]
Moema pepotei,49671,皮波莫氏溪鮰,['fresh'],[]
Moema piriana,49673,Liehuevä,['fresh'],[]
Moema portugali,49676,巴西莫氏溪鮰,['fresh'],[]
Moema quiii,62312,,['fresh'],[]
Moema staecki,49682,Pilkkuliehuevä,['fresh'],[]
