ScientificName,SpecCode,CommonName,Environments,Subspecies
Rivulus azurescens,67970,,['fresh'],[]
Rivulus berovidesi,68143,,['fresh'],[]
Rivulus carolinae,70401,,['fresh'],[]
Rivulus cylindraceus,11885,Brown rivulus,['fresh'],[]
Rivulus flammaecauda,70402,,['fresh'],[]
Rivulus formosensis,64008,,['fresh'],[]
Rivulus insulaepinorum,27760,Isle Of Pines Rivulus,['fresh'],[]
Rivulus pivijay,67971,,['fresh'],[]
Rivulus ribesrubrum,67972,,['fresh'],[]
Rivulus roloffi,27739,Haitinriippuja,['fresh'],[]
Rivulus tomasi,67148,,['fresh'],[]
Rivulus xi,67973,,['fresh'],[]
