ScientificName,SpecCode,CommonName,Environments,Subspecies
Neosalanx anderssoni,47138,도화뱅어,"['fresh', 'brackish', 'salt']",[]
Neosalanx argentea,60142,銀色新銀魚,['fresh'],[]
Neosalanx brevirostris,47136,短吻新銀魚,"['fresh', 'brackish', 'salt']",[]
Neosalanx hubbsi,60404,실뱅어,['fresh'],[]
Neosalanx jordani,47135,젓뱅어,"['fresh', 'brackish', 'salt']",[]
Neosalanx oligodontis,60143,寡齒新銀魚,['fresh'],[]
Neosalanx pseudotaihuensis,60144,近太湖新銀魚,['fresh'],[]
Neosalanx reganius,10418,Ariakehimeshirauo,"['fresh', 'brackish', 'salt']",[]
Neosalanx taihuensis,55418,Yangtze icefish,['fresh'],[]
Neosalanx tangkahkeii,54884,Chinese icefish,"['fresh', 'brackish']",[]
