ScientificName,SpecCode,CommonName,Environments,Subspecies
Coregonus albellus,49197,Brienzlig,['fresh'],[]
Coregonus albula,231,Albuli,"['fresh', 'brackish', 'salt']",[]
Coregonus alpenae,60806,Chub,['fresh'],[]
Coregonus alpinus,49199,Kropfer,['fresh'],[]
Coregonus anaulorum,63072,,"['fresh', 'brackish', 'salt']",[]
Coregonus arenicolus,49208,Bodensee Sandfelchen,['fresh'],[]
Coregonus artedi,235,Agone americano,"['fresh', 'brackish', 'salt']",[]
Coregonus atterensis,49217,Reinanke,['fresh'],[]
Coregonus austriacus,65594,,['fresh'],[]
Coregonus autumnalis,2669,Anma,"['fresh', 'brackish', 'salt']",[]
Coregonus baerii,65313,Volkhov whitefish,['fresh'],[]
Coregonus baicalensis,48350,Baikal whitefish,['fresh'],[]
Coregonus baunti,62750,,['fresh'],[]
Coregonus bavaricus,49219,Ammersee kilch,['fresh'],[]
Coregonus bezola,49191,Bezoule,['fresh'],[]
Coregonus candidus,49193,Bondelle,['fresh'],[]
Coregonus chadary,12549,Chadary whitefish,['fresh'],[]
Coregonus clupeaformis,234,Ameerika siig,"['fresh', 'brackish']",[]
Coregonus clupeoides,49276,Powan,['fresh'],[]
Coregonus confusus,49194,Pfärrig,['fresh'],[]
Coregonus danneri,49235,Riedling,['fresh'],[]
Coregonus duplex,65592,Grundler,['fresh'],[]
Coregonus fatioi,49200,Albock,['fresh'],[]
Coregonus fera,5475,Adelfelchen,['fresh'],[]
Coregonus fontanae,62042,Stechlin cisco,['fresh'],[]
Coregonus gutturosus,49211,Kilch,['fresh'],[]
Coregonus heglingus,49206,Albeli,['fresh'],[]
Coregonus hiemalis,49192,Geneve-sik,['fresh'],[]
Coregonus hoferi,49236,Schwebrenke,['fresh'],[]
Coregonus holsatus,65595,,['fresh'],[]
Coregonus hoyi,2670,Bloater,['fresh'],[]
Coregonus huntsmani,6207,Acadian whitefish,"['fresh', 'brackish', 'salt']",[]
Coregonus johannae,2671,Deepwater cisco,['fresh'],[]
Coregonus kiletz,65381,Kiletz,['fresh'],[]
Coregonus kiyi,2672,Kiyi,['fresh'],[]
Coregonus ladogae,65113,,['fresh'],[]
Coregonus laurettae,46941,Anmaglak,"['fresh', 'brackish', 'salt']",[]
Coregonus lavaretus,232,(обыкновенный) сиг,"['fresh', 'brackish']",[]
Coregonus lucinensis,49271,Kleine Maräne,['fresh'],[]
Coregonus lutokka,64639,Лудога май канаты,['fresh'],[]
Coregonus macrophthalmus,28065,Albuli,['fresh'],[]
Coregonus maraena,48236,Älvsik,"['fresh', 'brackish', 'salt']",[]
Coregonus maraenoides,65602,Peipsi whitefish,['fresh'],[]
Coregonus maxillaris,49240,Storsik,['fresh'],[]
Coregonus megalops,48234,Blåsik,['fresh'],[]
Coregonus migratorius,4788,Arctic cisco,['fresh'],[]
Coregonus muksun,12547,Kolezen,"['fresh', 'brackish', 'salt']",[]
Coregonus nasus,2674,aanaakliq,"['fresh', 'brackish']",[]
Coregonus nelsonii,10113,Alaska whitefish,['fresh'],[]
Coregonus nigripinnis,2675,Blackfin Cisco,['fresh'],[]
Coregonus nilssoni,48246,Edelmaräne,['fresh'],[]
Coregonus nipigon,66107,,['fresh'],[]
Coregonus nobilis,49201,Edelfisch,['fresh'],[]
Coregonus oxyrinchus,233,Älvsik,"['fresh', 'brackish']",[]
Coregonus palaea,49195,Palée,['fresh'],[]
Coregonus pallasii,48240,Aspsik,"['fresh', 'brackish']",[]
Coregonus peled,4687,Coregono,"['fresh', 'brackish', 'salt']",[]
Coregonus pennantii,49284,Gwyniad,['fresh'],[]
Coregonus pidschian,2676,Bottom Whitefish,"['fresh', 'brackish', 'salt']",[]
Coregonus pollan,4646,Coregono-das-ilhas,['fresh'],[]
Coregonus pravdinellus,63071,,"['fresh', 'brackish']",[]
Coregonus reighardi,2677,Chub,['fresh'],[]
Coregonus renke,49238,Starnberger Renke,['fresh'],[]
Coregonus restrictus,49196,Férit,['fresh'],[]
Coregonus sardinella,2678,Amagiak,"['fresh', 'brackish', 'salt']",[]
Coregonus stigmaticus,49288,Schelly,['fresh'],[]
Coregonus subautumnalis,48215,Penzhina omul,['fresh'],[]
Coregonus suidteri,49203,Balchen,['fresh'],[]
Coregonus trybomi,49269,Spring spawning cisco,['fresh'],[]
Coregonus tugun,12540,Lena tugun,['fresh'],[]
Coregonus ussuriensis,12548,Amur whitefish,"['fresh', 'brackish', 'salt']",[]
Coregonus vandesius,49290,Vendace,['fresh'],[]
Coregonus vessicus,65614,Beloye cisco,['fresh'],[]
Coregonus wartmanni,49212,Balchen,['fresh'],[]
Coregonus widegreni,48137,Kryazhevoi sig,['fresh'],[]
Coregonus zenithicus,2679,Cisco à mâchoires égales,['fresh'],[]
Coregonus zuerichensis,49207,Albeli,['fresh'],[]
Coregonus zugensis,49204,Albeli,['fresh'],[]
