ScientificName,SpecCode,CommonName,Environments,Subspecies
Salvelinus agassizii,6211,Silver Trout,['fresh'],[]
Salvelinus albus,56256,White char,"['fresh', 'brackish']",[]
Salvelinus alpinus,247,Akalukpik,"['fresh', 'brackish', 'salt']",[]
Salvelinus anaktuvukensis,6212,Alaska-fjeldørred,['fresh'],[]
Salvelinus andriashevi,48135,Andriashevs fjeldørred,['fresh'],[]
Salvelinus boganidae,47701,Boganida char,['fresh'],[]
Salvelinus colii,49332,Cole's charr,['fresh'],[]
Salvelinus confluentus,2690,Bull char,"['fresh', 'brackish']",[]
Salvelinus curilus,62773,Southern Dolly Varden,"['fresh', 'brackish', 'salt']",[]
Salvelinus czerskii,47706,Cherskii's char,['fresh'],[]
Salvelinus drjagini,47712,Drjagini paalia,['fresh'],[]
Salvelinus elgyticus,54196,Small-mouth char,['fresh'],[]
Salvelinus evasus,62627,Ammersee saibling,['fresh'],[]
Salvelinus faroensis,65605,Faroe charr,['fresh'],[]
Salvelinus fimbriatus,49334,Coomasaharn charr,['fresh'],[]
Salvelinus fontinalis,246,Âait,"['fresh', 'brackish', 'salt']",[]
Salvelinus gracillimus,49339,Shetland charr,['fresh'],[]
Salvelinus grayi,49335,Gray's charr,['fresh'],[]
Salvelinus gritzenkoi,65003,,['fresh'],[]
Salvelinus inframundus,49340,Orkney charr,['fresh'],[]
Salvelinus jacuticus,47714,Yakut char,['fresh'],[]
Salvelinus japonicus,10449,Iwana,['fresh'],[]
Salvelinus killinensis,49341,Haddy charr,['fresh'],[]
Salvelinus krogiusae,62774,,['fresh'],[]
Salvelinus kronocius,62775,,['fresh'],[]
Salvelinus kuznetzovi,62776,,['fresh'],[]
Salvelinus lepechini,65319,Storröding,['fresh'],[]
Salvelinus leucomaenis,6411,Amemasu,"['fresh', 'brackish', 'salt']",[]
Salvelinus levanidovi,61678,Citronröding,"['fresh', 'brackish', 'salt']",[]
Salvelinus lonsdalii,49343,Haweswater charr,['fresh'],[]
Salvelinus mallochi,49344,Malloch's charr,['fresh'],[]
Salvelinus malma,2691,Belyi golets,"['fresh', 'brackish', 'salt']",[]
Salvelinus maxillaris,49345,Large-mouthed charr,['fresh'],[]
Salvelinus murta,49346,Murta,['fresh'],[]
Salvelinus namaycush,248,Akalukpik,['fresh'],[]
Salvelinus neiva,48136,Neiva,['fresh'],[]
Salvelinus neocomensis,62956,Biblet,['fresh'],[]
Salvelinus obtusus,49359,Blunt-nosed Irish charr,['fresh'],[]
Salvelinus perisii,49361,Torgoch,['fresh'],[]
Salvelinus profundus,49362,Bodensee-Tiefensaibling,['fresh'],[]
Salvelinus salvelinoinsularis,65375,Bear Island charr,['fresh'],[]
Salvelinus schmidti,62777,,['fresh'],[]
Salvelinus struanensis,49365,Rannoch planktivorous charr,['fresh'],[]
Salvelinus taimyricus,63001,,['fresh'],[]
Salvelinus taranetzi,63243,,"['fresh', 'brackish', 'salt']",[]
Salvelinus thingvallensis,49367,Gjámurta,['fresh'],[]
Salvelinus tolmachoffi,47721,Esei lake char,['fresh'],[]
Salvelinus umbla,49369,Jezerska zlatovčica,['fresh'],[]
Salvelinus vasiljevae,62670,Sakhalinian char,['fresh'],[]
Salvelinus willoughbii,49370,Autumn Windermere charr,['fresh'],[]
Salvelinus youngeri,49686,Golden charr,['fresh'],[]
